CarName,Price,Year,KilometersDriven,Fuel Type,Location
Maruti Alto K10,"1,74,000",2011,"30,406 KM",PETROL,"Tathawade, Pune"
Maruti Alto 800,"2,71,000",2013,"97,228 KM",CNG,"Tathawade, Pune"
Maruti Alto K10,"1,71,000",2011,"58,924 KM",PETROL,"Undri, Pune"
Renault Kiger,"8,26,000",2021,"32,673 KM",PETROL,"Undri, Pune"
Hyundai Creta,"7,78,000",2017,"32,058 KM",PETROL,"Tathawade, Pune"
Volkswagen Polo,"8,74,000",2019,"27,133 KM",PETROL,"Tathawade, Pune"
Hyundai NEW I20 N LINE,"10,90,000",2021,"17,158 KM",PETROL,"Undri, Pune"
Maruti Swift Dzire,"4,76,000",2014,"88,671 KM",PETROL,"Undri, Pune"
Maruti Wagon R 1.0,"4,06,000",2017,"54,763 KM",PETROL,"Undri, Pune"
Hyundai Creta,"7,63,000",2016,"76,650 KM",PETROL,"Undri, Pune"
Nissan Micra Active,"2,51,000",2013,"97,818 KM",PETROL,"Tathawade, Pune"
Maruti Vitara Brezza,"7,80,000",2017,"72,576 KM",DIESEL,"Undri, Pune"
Honda Jazz,"4,64,000",2016,"62,501 KM",PETROL,"Tathawade, Pune"
Maruti Wagon R 1.0,"3,17,000",2015,"68,548 KM",PETROL,"Tathawade, Pune"
Honda Brio,"4,05,000",2014,"91,991 KM",PETROL,"Tathawade, Pune"
Hyundai NEW I20,"8,81,000",2021,"31,974 KM",PETROL,"Tathawade, Pune"
Mahindra Scorpio,"14,32,000",2020,"71,822 KM",DIESEL,"Undri, Pune"
Hyundai Verna,"9,78,000",2019,"17,977 KM",PETROL,"Undri, Pune"
Hyundai Verna,"9,70,000",2018,"74,427 KM",DIESEL,"Undri, Pune"
Toyota Etios,"3,76,000",2013,"47,334 KM",PETROL,"Undri, Pune"
Maruti Baleno,"6,55,000",2017,"23,424 KM",CNG,"Undri, Pune"
Maruti Ciaz,"8,63,000",2020,"17,216 KM",PETROL,"Tathawade, Pune"
Hyundai Elite i20,"7,30,000",2018,"30,559 KM",PETROL,"Tathawade, Pune"
Renault Kwid,"4,64,000",2022,"4,026 KM",PETROL,"Tathawade, Pune"
Maruti Ritz,"2,37,000",2010,"1,09,477 KM",DIESEL,"Tathawade, Pune"
Hyundai Creta,"7,75,000",2015,"55,697 KM",PETROL,"Tathawade, Pune"
Maruti New Wagon-R,"5,67,300",2021,"51,651 KM",CNG,"Tathawade, Pune"
Maruti Swift,"4,17,000",2012,"99,479 KM",DIESEL,"Undri, Pune"
Maruti Ciaz,"6,17,000",2016,"79,664 KM",PETROL,"Undri, Pune"
Hyundai Eon,"2,62,000",2016,"99,769 KM",PETROL,"Tathawade, Pune"
Maruti New Wagon-R,"6,35,000",2022,"4,777 KM",PETROL,"Undri, Pune"
Hyundai Grand i10,"4,73,000",2014,"32,923 KM",PETROL,"Tathawade, Pune"
Renault Kwid,"3,39,000",2016,"16,528 KM",PETROL,"Tathawade, Pune"
Maruti Ertiga,"8,70,000",2016,"51,952 KM",DIESEL,"Tathawade, Pune"
Skoda Rapid,"9,93,000",2021,"14,758 KM",PETROL,"Tathawade, Pune"
Hyundai Xcent,"5,20,000",2018,"78,166 KM",CNG,"Undri, Pune"
Honda Civic,"17,39,000",2019,"41,286 KM",PETROL,"Tathawade, Pune"
Hyundai AURA,"6,81,000",2020,"43,410 KM",CNG,"Undri, Pune"
Maruti Swift,"6,50,000",2019,"54,452 KM",PETROL,"Undri, Pune"
Honda City,"5,90,000",2015,"65,351 KM",PETROL,"Undri, Pune"
Maruti Ertiga,"6,18,000",2014,"85,570 KM",CNG,"Undri, Pune"
Maruti Wagon R 1.0,"3,30,000",2013,"54,186 KM",PETROL,"Tathawade, Pune"
Hyundai i10,"2,35,000",2011,"68,780 KM",PETROL,"Undri, Pune"
Maruti Dzire,"5,56,000",2018,"67,230 KM",PETROL,"Tathawade, Pune"
Maruti Alto K10,"1,73,000",2011,"73,525 KM",PETROL,"Tathawade, Pune"
Maruti Swift,"4,25,000",2015,"83,590 KM",PETROL,"Tathawade, Pune"
Hyundai Creta,"7,51,000",2015,"76,257 KM",PETROL,"Tathawade, Pune"
Maruti Dzire,"6,22,000",2017,"32,906 KM",PETROL,"Undri, Pune"
Honda City,"5,80,000",2015,"51,388 KM",PETROL,"Tathawade, Pune"
Maruti Ertiga,"6,18,000",2014,"58,042 KM",CNG,"Tathawade, Pune"
Maruti Alto 800,"2,10,000",2013,"76,653 KM",PETROL,"Undri, Pune"
Maruti New Wagon-R,"5,10,000",2019,"51,562 KM",PETROL,"Tathawade, Pune"
Maruti Alto 800,"2,93,000",2018,"55,479 KM",PETROL,"Undri, Pune"
Maruti Ritz,"2,31,000",2011,"74,068 KM",PETROL,"Undri, Pune"
Maruti Swift Dzire,"4,14,000",2014,"1,21,606 KM",PETROL,"Undri, Pune"
Tata ALTROZ,"7,56,000",2022,"7,371 KM",PETROL,"Undri, Pune"
Maruti Alto K10,"1,70,000",2010,"42,226 KM",PETROL,"Tathawade, Pune"
Maruti Wagon R 1.0,"3,01,000",2012,"63,347 KM",CNG,"Tathawade, Pune"
Volkswagen Polo,"6,24,000",2019,"58,159 KM",PETROL,"Tathawade, Pune"
Maruti Celerio,"4,09,000",2015,"36,585 KM",PETROL,"Undri, Pune"
Renault Kwid,"3,72,000",2018,"44,380 KM",PETROL,"Undri, Pune"
Jeep Compass,"13,94,000",2018,"50,636 KM",PETROL,"Tathawade, Pune"
