CarName,Price,Year,KilometersDriven,Fuel Type,Location
Maruti Dzire,"5,04,000",2017,"53,384 KM",PETROL,Mulund
Hyundai Elite i20,"5,93,000",2019,"47,575 KM",PETROL,"Goregaon, Mumbai"
Hyundai Creta,"6,82,000",2016,"53,124 KM",PETROL,Mulund
Maruti Baleno,"5,08,000",2015,"48,130 KM",DIESEL,Mulund
Maruti Swift,"2,64,000",2011,"1,17,834 KM",PETROL,Mulund
Honda Amaze,"6,79,000",2019,"26,129 KM",PETROL,"Goregaon, Mumbai"
Maruti Swift Dzire,"3,28,000",2012,"45,788 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Maruti Swift,"2,44,000",2010,"85,544 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Hyundai Elite i20,"6,67,000",2018,"62,469 KM",PETROL,Mulund
Hyundai Eon,"2,96,000",2018,"77,370 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Honda City,"5,52,000",2016,"91,750 KM",PETROL,Mulund
Hyundai Xcent,"3,56,000",2015,"27,591 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Mahindra Thar,"15,69,000",2022,"9,814 KM",DIESEL,Mulund
Maruti Alto 800,"1,87,000",2012,"27,275 KM",PETROL,Mulund
Hyundai Elite i20,"4,71,000",2015,"50,117 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Honda City,"2,94,000",2011,"91,937 KM",PETROL,"Goregaon, Mumbai"
Honda City,"3,06,000",2012,"1,00,760 KM",PETROL,Mulund
Nissan Micra,"3,30,000",2014,"31,091 KM",PETROL,"Goregaon, Mumbai"
Maruti Ertiga,"5,58,000",2015,"70,995 KM",PETROL,Mulund
Hyundai VENUE,"7,82,000",2021,"71,635 KM",PETROL,"Goregaon, Mumbai"
Maruti Swift Dzire,"2,81,000",2011,"59,566 KM",PETROL,Mulund
Maruti Dzire,"5,97,000",2017,"25,482 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Hyundai Creta,"6,99,000",2016,"99,304 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
KIA SONET,"10,50,200",2020,"48,383 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Maruti Ertiga,"6,44,000",2015,"24,957 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Renault Kwid,"3,38,000",2017,"26,954 KM",PETROL,Mulund
Tata Tiago,"3,95,000",2016,"46,765 KM",PETROL,Mulund
Hyundai Verna,"4,97,000",2014,"82,289 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Maruti Ertiga,"5,67,000",2012,"94,671 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
Maruti Wagon R 1.0,"2,28,000",2012,"64,173 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Hyundai Verna,"9,88,000",2021,"15,862 KM",PETROL,"Goregaon, Mumbai"
Hyundai i20,"2,83,000",2012,"47,740 KM",PETROL,Mulund
Maruti Vitara Brezza,"6,86,000",2016,"77,943 KM",DIESEL,"Goregaon, Mumbai"
Maruti Dzire,"5,72,000",2018,"66,879 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Hyundai Elite i20,"5,78,000",2018,"21,423 KM",PETROL,Mulund
Skoda Rapid,"9,13,000",2020,"34,880 KM",DIESEL,Mulund
Hyundai i10,"2,34,000",2013,"84,622 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Volkswagen Polo,"5,21,000",2016,"44,124 KM",PETROL,Mulund
Renault Kwid,"3,10,000",2017,"47,446 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Maruti Ciaz,"9,68,000",2019,"55,169 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
Maruti Celerio,"3,66,000",2014,"53,740 KM",CNG,Mulund
Maruti Wagon R 1.0,"2,72,000",2012,"58,318 KM",CNG,"Rupa Renaissance, Navi Mumbai"
Hyundai i10,"1,91,000",2010,"40,322 KM",PETROL,"Goregaon, Mumbai"
Maruti Alto,"3,58,000",2021,"16,858 KM",PETROL,"Goregaon, Mumbai"
Hyundai Elite i20,"5,12,000",2014,"1,06,910 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
Mahindra XUV500,"7,37,000",2017,"57,570 KM",DIESEL,Mulund
Honda City,"5,26,000",2015,"43,070 KM",PETROL,"Goregaon, Mumbai"
Maruti Celerio X,"4,36,000",2017,"24,275 KM",PETROL,Mulund
Skoda Rapid,"3,51,000",2012,"61,347 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Maruti Swift Dzire,"4,37,000",2013,"72,359 KM",DIESEL,"Goregaon, Mumbai"
Maruti Wagon R 1.0,"2,64,000",2012,"1,12,591 KM",CNG,"Rupa Renaissance, Navi Mumbai"
Maruti Swift,"4,94,000",2017,"9,675 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Maruti Ertiga,"8,72,000",2017,"44,556 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
Volkswagen Vento,"3,42,000",2013,"94,922 KM",DIESEL,"Goregaon, Mumbai"
Ford Ecosport,"8,13,000",2019,"22,004 KM",PETROL,Mulund
Hyundai Verna,"5,02,000",2016,"80,413 KM",PETROL,Mulund
Maruti Wagon R 1.0,"3,93,000",2017,"74,706 KM",CNG,"Goregaon, Mumbai"
Maruti Baleno,"4,83,000",2016,"51,002 KM",PETROL,"Goregaon, Mumbai"
Maruti Baleno,"6,72,000",2019,"52,152 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
Toyota URBAN CRUISER,"9,69,000",2022,"12,970 KM",PETROL,Mulund
Honda Amaze,"3,33,000",2013,"94,746 KM",DIESEL,Mulund
Maruti Ciaz,"5,86,000",2016,"38,381 KM",PETROL,Mulund
Hyundai Grand i10,"3,67,000",2015,"41,378 KM",PETROL,"Goregaon, Mumbai"
Hyundai Creta,"9,25,000",2019,"56,549 KM",PETROL,Mulund
Honda Amaze,"3,51,000",2013,"36,685 KM",PETROL,"Goregaon, Mumbai"
Maruti Dzire,"6,42,000",2021,"78,582 KM",PETROL,"Goregaon, Mumbai"
Tata Harrier,"13,19,000",2019,"77,757 KM",DIESEL,Mulund
Maruti Vitara Brezza,"8,82,000",2018,"48,642 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
Maruti Swift Dzire,"4,58,000",2014,"51,532 KM",PETROL,Mulund
Maruti Ciaz,"5,04,000",2015,"1,16,138 KM",DIESEL,"Goregaon, Mumbai"
Honda Amaze,"3,72,000",2016,"1,11,247 KM",PETROL,Mulund
Hyundai Elite i20,"5,22,000",2016,"33,339 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Hyundai i20 Active,"5,70,000",2017,"25,690 KM",PETROL,Mulund
Hyundai AURA,"7,47,000",2021,"14,305 KM",CNG,"Rupa Renaissance, Navi Mumbai"
Maruti Wagon R 1.0,"3,48,000",2015,"21,598 KM",PETROL,"Goregaon, Mumbai"
Hyundai Grand i10,"5,03,000",2018,"58,922 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
Maruti Celerio,"3,75,000",2016,"63,983 KM",PETROL,Mulund
Honda Amaze,"3,49,000",2013,"92,195 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
Hyundai Verna,"7,06,000",2016,"61,875 KM",DIESEL,Mulund
