CarName,Price,Year,KilometersDriven,Fuel Type,Location
Hyundai Elite i20,"5,00,000",2016,"69,252 KM",PETROL,"Hindon, Sewa Nagar, Ghaziabad"
Maruti Swift Dzire,"4,88,000",2017,"58,225 KM",PETROL,"GIP Mall, Noida"
Maruti Ciaz,"8,05,000",2018,"75,831 KM",PETROL,"Sector-18, Noida"
Maruti Alto,"3,72,000",2021,"22,928 KM",PETROL,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
KIA SELTOS,"10,77,000",2020,"62,670 KM",PETROL,"GIP Mall, Noida"
Maruti Baleno,"4,22,000",2016,"73,102 KM",PETROL,"Vasant Kunj, New Delhi"
Maruti Wagon R 1.0,"1,42,000",2010,"80,982 KM",PETROL,"Vasant Kunj, New Delhi"
Hyundai Grand i10,"4,22,000",2016,"52,884 KM",PETROL,"Hindon, Sewa Nagar, Ghaziabad"
Maruti Celerio,"3,90,000",2016,"22,761 KM",PETROL,"Hindon, Sewa Nagar, Ghaziabad"
Maruti Ciaz,"5,28,000",2016,"85,765 KM",CNG,"Sector-18, Noida"
Maruti BREZZA,"11,99,800",2023,"12,072 KM",PETROL,"Sector-18, Noida"
Jeep Compass,"15,55,000",2019,"23,690 KM",PETROL,"Vasant Kunj, New Delhi"
Maruti S Cross,"10,10,000",2020,"6,260 KM",PETROL,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
Hyundai VENUE,"10,45,000",2019,"21,997 KM",PETROL,"Hindon, Sewa Nagar, Ghaziabad"
Maruti Swift Dzire,"3,37,600",2014,"57,567 KM",PETROL,"Sector-18, Noida"
Maruti Wagon R 1.0,"2,91,000",2013,"38,106 KM",PETROL,"Hindon, Sewa Nagar, Ghaziabad"
Hyundai Verna,"6,05,000",2016,"50,206 KM",PETROL,"Chhatarpur, Delhi"
Renault Kiger,"9,27,000",2022,"13,419 KM",PETROL,"Hindon, Sewa Nagar, Ghaziabad"
Volkswagen Ameo,"6,93,000",2018,"52,041 KM",DIESEL,"GIP Mall, Noida"
Maruti Celerio,"4,45,000",2018,"19,717 KM",PETROL,"Spaze Platinum, Sohna Road, Gurugram"
