,Fuel Type,Location,CompanyName,ModelName,Price,Year,KilometersDriven
4701,Diesel,Pune,Toyota,Innova,1025000.0,2014,115000.0
4702,Petrol,Pune,Renault,KWID,490000.0,2022,3700.0
4703,Cng-hybrid,Pune,Maruti,Suzuki Ertiga,400000.0,2023,1234.0
4704,Petrol,Pune,Maruti,Suzuki maruti-suzuki-dzire,435000.0,2013,62000.0
4705,Diesel,Pune,Ford,Fiesta,355000.0,2011,57000.0
4706,Petrol,Pune,Maruti,Suzuki Baleno,745000.0,2020,17000.0
4707,Petrol,Pune,Honda,City,1010000.0,2017,31000.0
4708,Petrol,Pune,Maruti,Suzuki Alto-K10,375000.0,2018,47000.0
4709,Petrol,Pune,Maruti,Suzuki Alto,131000.0,2008,78000.0
4710,Cng-hybrid,Pune,Maruti,Suzuki Ertiga,850000.0,2017,85000.0
4711,Petrol,Pune,Audi,A3,2400000.0,2018,43400.0
4712,Diesel,Pune,Toyota,Innova Crysta,1795000.0,2018,136000.0
4713,Diesel,Pune,Volvo,V40,975000.0,2013,98500.0
4714,Diesel,Pune,Toyota,Innova Crysta,1680000.0,2016,64000.0
4715,Petrol,Pune,Maruti,Suzuki maruti-suzuki-dzire,675000.0,2021,44000.0
4716,Cng-hybrid,Pune,Maruti,Suzuki Wagon-R,165000.0,2010,89000.0
4717,Petrol,Pune,Audi,A3,2400000.0,2018,43400.0
4718,Diesel,Pune,Toyota,Innova Crysta,2100000.0,2019,79000.0
4719,Cng-hybrid,Pune,Maruti,Suzuki Ertiga,200000.0,2023,1234.0
4720,Petrol,Pune,Maruti,Suzuki Ertiga,745000.0,2016,72000.0
4721,Petrol,Pune,Toyota,Glanza,785000.0,2019,46976.0
4722,Petrol,Pune,Maruti,Suzuki Celerio,424999.0,2015,30000.0
4723,Diesel,Pune,Volkswagen,Jetta,500000.0,2011,109000.0
4724,Diesel,Pune,Mahindra,XUV 300,1249000.0,2022,15000.0
4725,Diesel,Pune,Mahindra,TUV,699000.0,2015,64000.0
4726,Cng-hybrid,Pune,Maruti,Suzuki Wagon-R-1-0,610000.0,2021,35370.0
4727,Petrol,Pune,Chevrolet,Beat,185000.0,2011,30852.0
4728,Cng-hybrid,Pune,Maruti,Suzuki Wagon,160000.0,2023,1234.0
4729,Diesel,Pune,Toyota,Fortuner,1895000.0,2016,151000.0
4730,Petrol,Pune,Hyundai,i10,185000.0,2008,65000.0
4731,Diesel,Pune,BMW,X3,1225000.0,2011,113000.0
4733,Petrol,Pune,Toyota,Glanza,785000.0,2019,46976.0
4734,Diesel,Pune,Kia,Carens,2000000.0,2022,10654.0
4735,Diesel,Pune,Kia,Carens,300000.0,2023,1234.0
4736,Petrol,Pune,Maruti,Suzuki Alto,111000.0,2006,42000.0
4738,Petrol,Pune,Renault,Triber,615000.0,2020,21084.0
4739,Petrol,Pune,Maruti,Suzuki Eeco,390000.0,2015,75533.0
4740,Petrol,Pune,Hyundai,Santro,545000.0,2018,45000.0
4741,Petrol,Pune,Maruti,Suzuki Swift,375000.0,2011,81256.0
4742,Diesel,Pune,Volkswagen,Jetta,540000.0,2012,92365.0
4743,Petrol,Pune,Hyundai,Elite i20,625000.0,2017,34000.0
4744,Petrol,Pune,Maruti,Suzuki Ritz,280000.0,2011,39000.0
4745,Petrol,Pune,Maruti,Suzuki A-Star,200000.0,2010,49758.0
4746,Petrol,Pune,Hyundai,Elite i20,535000.0,2015,71259.0
4747,Cng-hybrid,Pune,Maruti,Suzuki Wagon-R,311000.0,2013,116000.0
4748,Petrol,Pune,Maruti,Suzuki Estilo,125000.0,2008,45000.0
4749,Diesel,Pune,Volkswagen,VentoTest,415000.0,2014,108000.0
4750,Diesel,Pune,Toyota,Innova,1090000.0,2015,116000.0
4751,Diesel,Pune,Audi,A6,1350000.0,2012,66000.0
4752,Diesel,Pune,Volkswagen,VentoTest,315000.0,2012,126000.0
4753,Petrol,Pune,Datsun,RediGO,289000.0,2018,24000.0
4754,Petrol,Pune,Tata,Nano Genx,265000.0,2017,18000.0
4755,Petrol,Pune,Maruti,Suzuki Swift-Dzire,650000.0,2017,74236.0
4758,Diesel,Pune,Audi,Q3,1325000.0,2015,95500.0
4759,Diesel,Pune,Skoda,Rapid,565000.0,2016,85000.0
4760,Diesel,Pune,Skoda,Rapid,575000.0,2016,81000.0
4761,Petrol,Pune,Hyundai,Grand i10,580000.0,2017,12000.0
4762,Petrol,Pune,Chevrolet,Beat,185000.0,2011,38953.0
4763,Cng-hybrid,Pune,Maruti,Suzuki Alto-800,285000.0,2013,71259.0
4764,Diesel,Pune,Kia,Carens,2000000.0,2022,10265.0
4765,Petrol,Pune,Maruti,Suzuki Celerio-X,635000.0,2022,5863.0
4766,Cng-hybrid,Pune,Maruti,Suzuki Wagon-R-1-0,675000.0,2021,10567.0
4767,Diesel,Pune,Mercedes-Benz,M-Class,1999000.0,2013,97000.0
4768,Diesel,Pune,Maruti,Suzuki Ciaz,675000.0,2016,89000.0
4769,Diesel,Pune,Volvo,V40,975000.0,2013,103500.0
4770,Diesel,Pune,Mercedes-Benz,M-Class,2450000.0,2015,85000.0
4771,Diesel,Pune,BMW,7 Series,2550000.0,2014,84000.0
4772,Petrol,Pune,Hyundai,Grand i10,395000.0,2014,80000.0
4773,Diesel,Pune,Toyota,Innova Crysta,2375000.0,2018,39000.0
4774,Diesel,Pune,Ford,Figo,170000.0,2011,111907.0
4775,Diesel,Pune,Maruti,Suzuki Swift-Dzire,760000.0,2017,83500.0
4776,Petrol,Pune,Volkswagen,VentoTest,325000.0,2012,81236.0
4777,Diesel,Pune,Mahindra,XUV500,1091000.0,2018,126436.0
4778,Diesel,Pune,Toyota,Etios Liva,357000.0,2012,90000.0
4779,Diesel,Pune,Ford,Figo,490000.0,2016,54000.0
4780,Diesel,Pune,Toyota,Innova,900000.0,2014,125000.0
4781,Diesel,Pune,Volkswagen,Jetta,690000.0,2014,126000.0
4782,Petrol,Pune,Hyundai,Creta,950000.0,2019,100000.0
4783,Petrol,Pune,Hyundai,Creta,950000.0,2019,100000.0
4784,Petrol,Pune,Renault,KWID,285000.0,2016,71256.0
4785,Diesel,Pune,Hyundai,Verna,485000.0,2012,81745.0
4786,Diesel,Pune,Hyundai,Venue,975000.0,2020,80000.0
4787,Petrol,Pune,Honda,City ZX,185000.0,2008,65000.0
4788,Diesel,Pune,Maruti,Suzuki Vitara-Brezza,925000.0,2017,41000.0
4789,Petrol,Pune,Maruti,Suzuki Alto-K10,265000.0,2014,55000.0
4790,Diesel,Pune,Volkswagen,VentoTest,365000.0,2012,62000.0
4791,Diesel,Pune,Volkswagen,Polo,530000.0,2016,60000.0
4792,Diesel,Pune,Maruti,Suzuki Swift,510000.0,2014,118000.0
4793,Cng-hybrid,Pune,Maruti,Suzuki Celerio,595000.0,2020,34000.0
4794,Cng-hybrid,Pune,Maruti,Suzuki Wagon-R,560000.0,2020,27000.0
4795,Diesel,Pune,Volkswagen,CrossPolo,425000.0,2013,57825.0
4796,Petrol,Pune,Honda,WRV,735000.0,2017,54000.0
4797,Diesel,Pune,Tata,Nexon,1500000.0,2023,2900.0
4798,Diesel,Pune,Toyota,Innova,765000.0,2015,198000.0
4799,Cng-hybrid,Pune,Hyundai,Grand i10,545000.0,2016,48653.0
4800,Petrol,Pune,Hyundai,i20,370000.0,2013,53478.0
4801,Petrol,Pune,Maruti,Suzuki Swift,440000.0,2014,67000.0
4802,Petrol,Pune,Fiat,Linea,165000.0,2011,48000.0
4803,Diesel,Pune,Skoda,Rapid,335000.0,2012,79000.0
4804,Petrol,Pune,Maruti,Suzuki Wagon-R,310000.0,2013,72000.0
4805,Diesel,Pune,Audi,A6,1300000.0,2014,100000.0
4806,Diesel,Pune,Renault,Duster,925000.0,2019,39999.0
4807,Petrol,Pune,Maruti,Suzuki Swift,390000.0,2013,51000.0
4808,Petrol,Pune,Toyota,Glanza,850000.0,2020,17579.0
4809,Cng-hybrid,Pune,Datsun,GO Plus,325000.0,2017,65394.0
4810,Petrol,Pune,Ford,Ecosport,775000.0,2018,16000.0
4811,Petrol,Pune,Maruti,Suzuki Wagon-R,585000.0,2020,31109.0
4812,Diesel,Pune,Skoda,Superb,2495000.0,2019,73000.0
4813,Petrol,Pune,Hyundai,i10,315000.0,2013,39000.0
4814,Diesel,Pune,Hyundai,i20,269000.0,2009,87000.0
4815,Diesel,Pune,Maruti,Suzuki Swift-Dzire,800000.0,2018,98600.0
4816,Petrol,Pune,Volkswagen,Polo,585000.0,2018,34000.0
4817,Petrol,Pune,Maruti,Suzuki Ertiga,745000.0,2016,72000.0
4819,Petrol,Pune,Maruti,Suzuki Ciaz,585000.0,2015,47000.0
4820,Diesel,Pune,Mahindra,Scorpio,440000.0,2011,110000.0
4821,Petrol,Pune,Hyundai,Grand i10,485000.0,2016,34000.0
