ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
190,Maruti Vitara Brezza,"7,92,000",2019,102511,DIESEL,"Parsvnath City Mall, Faridabad",https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-faridabad-11082357754/,https://fastly-production.24c.in/hello-ar/dev/uploads/0d5557b2-c4d9-48ad-9f35-03c68210ef5e/ed6d3cd0-50e1-4c73-a902-a04fb25b0cd0/43.jpg?w=690&auto=format
191,Maruti Wagon R 1.0,"3,22,000",2017,60482,CNG,"Spaze Platinum, Sohna Road, Gurugram",https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2017-cars-gurgaon-11082050786/,https://fastly-production.24c.in/hello-ar/dev/uploads/e5b359b0-3d91-4b96-b44c-f18181e4392b/cd48ee8a-9226-4944-8658-2712aaeed08c/42.jpg?w=690&auto=format
192,Maruti Baleno,"4,88,000",2017,22956,PETROL,"Spaze Platinum, Sohna Road, Gurugram",https://www.cars24.com/buy-used-maruti-baleno-2017-cars-gurgaon-11081354756/,https://fastly-production.24c.in/hello-ar/dev/uploads/682a1ee7-f717-43c2-9c0c-5e196aeb90dd/d5076ed9-f82f-467a-b72c-c8e731821f0d/43.jpg?w=690&auto=format
193,Maruti Wagon R 1.0,"1,81,000",2011,75861,PETROL,"Parsvnath City Mall, Faridabad",https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2011-cars-faridabad-11081259773/,https://fastly-production.24c.in/hello-ar/dev/uploads/93674692-8e62-46e6-9f4f-ece196f14d7b/3b79fb53-5ba8-4e8e-969e-7c9629417b3a/43.jpg?w=690&auto=format
194,Volkswagen Vento,"2,49,000",2010,74369,PETROL,"Vasant Kunj, New Delhi",https://www.cars24.com/buy-used-volkswagen-vento-2010-cars-new-delhi-11081119721/,https://fastly-production.24c.in/hello-ar/dev/uploads/4990c3b0-fa3b-474b-a56e-7a560b69d95d/9ef6096d-a9a1-46a3-a1bf-90736fe31980/43.jpg?w=690&auto=format
195,Honda Amaze,"4,45,000",2017,31433,PETROL,"Spaze Platinum, Sohna Road, Gurugram",https://www.cars24.com/buy-used-honda-amaze-2017-cars-gurgaon-11080611706/,https://fastly-production.24c.in/hello-ar/dev/uploads/ba41548a-598f-433c-855b-75927c9f0973/1192ffbf-56bb-467d-bd13-bf33eaa3bfcb/42.jpg?w=690&auto=format
196,Maruti Baleno,"6,72,000",2020,20856,PETROL,"Vasant Kunj, New Delhi",https://www.cars24.com/buy-used-maruti-baleno-2020-cars-new-delhi-11078156716/,https://fastly-production.24c.in/hello-ar/dev/uploads/7145f88a-7d42-49e6-aa2d-782b57c862dd/10ec53b3-c467-46e3-8fab-4cc1ab43ccea/43.jpg?w=690&auto=format
197,Maruti Swift,"5,50,000",2019,32501,PETROL,"M3M Urbana, Golf Course Ext., Gurugram",https://www.cars24.com/buy-used-maruti-swift-2019-cars-gurgaon-11078112779/,https://fastly-production.24c.in/hello-ar/dev/uploads/cb6eb0e9-ac8b-4a81-a283-6fb2bf742c7a/40191b26-e9d4-44ca-be4d-3d0e4a308882/42.jpg?w=690&auto=format
198,Maruti Vitara Brezza,"7,44,000",2018,69943,DIESEL,"Metro Walk, Rohini, New Delhi",https://www.cars24.com/buy-used-maruti-vitara-brezza-2018-cars-new-delhi-11077952798/,https://fastly-production.24c.in/hello-ar/dev/uploads/f7ffa951-1918-41a5-9033-f96005358789/45f38c68-3133-4a6b-9078-e998fa8f48c5/44.jpg?w=690&auto=format
199,Maruti New Wagon-R,"4,51,000",2019,97574,CNG,"M3M Urbana, Golf Course Ext., Gurugram",https://www.cars24.com/buy-used-maruti-new-wagon-r-2019-cars-gurgaon-11077075757/,https://fastly-production.24c.in/hello-ar/dev/uploads/18e590c4-b0f1-4f08-8da3-b8cff84ea96b/9236e475-0490-4ad6-b5b1-20c87983c253/43.jpg?w=690&auto=format
