ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
350,Maruti IGNIS,"5,31,000",2019,27213,PETROL,"Undri, Pune",https://www.cars24.com/buy-used-maruti-ignis-2019-cars-pune-10618253755/,https://fastly-production.24c.in/hello-ar/dev/uploads/aa676275-f694-4a62-8b19-d87463906323/2c71643f-7bd4-4413-813a-582508ce30be/46.jpg?w=690&auto=format
351,Maruti Dzire,"7,21,000",2019,33434,PETROL,"Undri, Pune",https://www.cars24.com/buy-used-maruti-dzire-2019-cars-pune-10698019787/,https://fastly-production.24c.in/hello-ar/dev/uploads/2ce1a966-d8c5-41f9-96d0-3ee4a0563132/77fffc0a-a44e-422e-b1ae-519818a70c88/44.jpg?w=690&auto=format
352,Honda Jazz,"5,79,000",2017,74151,PETROL,"Tathawade, Pune",https://www.cars24.com/buy-used-honda-jazz-2017-cars-pune-10612514728/,https://fastly-production.24c.in/hello-ar/dev/uploads/649175b3d5b681ed3b51ebf5/ad28225b-184d-4308-86fb-b66c0ab38d33/44.jpg?w=690&auto=format
353,Honda WR-V,"6,30,000",2017,45426,PETROL,"Tathawade, Pune",https://www.cars24.com/buy-used-honda-wr-v-2017-cars-pune-10625657712/,https://fastly-production.24c.in/hello-ar/dev/uploads/91a9c336-6f04-47aa-9329-4648aca679fa/80271347-89c5-461c-976c-1ccada76de2e/45.jpg?w=690&auto=format
354,Maruti IGNIS,"5,83,000",2019,43516,PETROL,"Tathawade, Pune",https://www.cars24.com/buy-used-maruti-ignis-2019-cars-pune-10661951775/,https://fastly-production.24c.in/hello-ar/dev/uploads/8da476c8-bf76-4642-bec5-5d7acb861ebd/3641e42d-ba7e-4374-9ec7-9aac0062905f/46.jpg?w=690&auto=format
355,Maruti Swift,"4,68,000",2014,71034,PETROL,"Undri, Pune",https://www.cars24.com/buy-used-maruti-swift-2014-cars-pune-10676151781/,https://fastly-production.24c.in/hello-ar/dev/uploads/5d3cb839-181e-4402-a988-1aa4cafb430f/1b9d0c89-21c9-4c97-815e-1d583fe4beeb/45.jpg?w=690&auto=format
356,Maruti Baleno,"7,32,000",2021,28273,PETROL,"Tathawade, Pune",https://www.cars24.com/buy-used-maruti-baleno-2021-cars-pune-10615919767/,https://fastly-production.24c.in/hello-ar/dev/uploads/adf940e0-bff2-4d86-84da-0cec4a7d75f2/8bbaff66-fbc5-43c7-aa4f-bedde2f553cb/45.jpg?w=690&auto=format
357,Honda Brio,"3,63,000",2015,33917,PETROL,"Tathawade, Pune",https://www.cars24.com/buy-used-honda-brio-2015-cars-pune-10378014768/,https://fastly-production.24c.in/hello-ar/dev/uploads/95baeaa1-00c4-4ef8-8d19-77d37b94b176/b1a041b6-dca8-472f-9bac-bbef40ea06a5/43.jpg?w=690&auto=format
358,Mahindra KUV 100 NXT,"5,35,000",2018,53177,PETROL,"Undri, Pune",https://www.cars24.com/buy-used-mahindra-kuv-100-nxt-2018-cars-pune-10305116765/,https://fastly-production.24c.in/hello-ar/dev/uploads/f1711b7e-efd0-4298-8ded-39e6f2fb5e09/e0026967-6461-4834-a26f-f4ede3bec4fb/44.jpg?w=690&auto=format
359,Hyundai NEW SANTRO,"5,17,000",2018,69032,CNG,"Tathawade, Pune",https://www.cars24.com/buy-used-hyundai-new-santro-2018-cars-pune-10616451788/,https://fastly-production.24c.in/hello-ar/dev/uploads/336af924-c727-4292-b6fe-b62f38d2dfc7/05878b58-118d-426a-a499-adefc806b881/44.jpg?w=690&auto=format
360,Volkswagen Vento,"13,17,000",2021,14290,PETROL,"Tathawade, Pune",https://www.cars24.com/buy-used-volkswagen-vento-2021-cars-pune-10682878751/,https://fastly-production.24c.in/hello-ar/dev/uploads/2c3da7dd-7f75-4353-93a1-8ee82f0ae495/53f8b3e9-6236-452c-b452-d0f0b185880d/44.jpg?w=690&auto=format
361,Tata ALTROZ,"8,71,000",2021,21357,PETROL,"Tathawade, Pune",https://www.cars24.com/buy-used-tata-altroz-2021-cars-pune-10671959722/,https://fastly-production.24c.in/hello-ar/dev/uploads/0939fad2-94a4-4fad-ae55-3fff671e7a1c/57a23809-aaf5-46b9-adc0-ca696ac770e4/45.jpg?w=690&auto=format
362,Volkswagen Ameo,"5,27,000",2017,95569,PETROL,"Tathawade, Pune",https://www.cars24.com/buy-used-volkswagen-ameo-2017-cars-pune-10626351739/,https://fastly-production.24c.in/hello-ar/dev/uploads/43de6543-6d04-412c-bbc7-742b30234eab/d33419a9-caa8-4887-8c0d-d8c68e241f19/45.jpg?w=690&auto=format
363,Honda City,"8,15,000",2017,76465,PETROL,"Undri, Pune",https://www.cars24.com/buy-used-honda-city-2017-cars-pune-10661419782/,https://fastly-production.24c.in/hello-ar/dev/uploads/ddfd398f-ce7a-457b-9d6c-61ce2f66b852/e7563543-dc11-4762-a1f8-668273023e0d/44.jpg?w=690&auto=format
364,Hyundai Eon,"2,85,000",2014,52469,PETROL,"Tathawade, Pune",https://www.cars24.com/buy-used-hyundai-eon-2014-cars-pune-10676114724/,https://fastly-production.24c.in/hello-ar/dev/uploads/bceb526b-a28b-4d22-b5c1-71de6dcaff9f/d45330ca-7335-4e57-9fba-d9b8e6fbc6fe/44.jpg?w=690&auto=format
365,Ford New Figo,"7,32,000",2020,42058,DIESEL,"Tathawade, Pune",https://www.cars24.com/buy-used-ford-new-figo-2020-cars-pune-10614457776/,https://fastly-production.24c.in/hello-ar/dev/uploads/2fa1d577-3bca-4d94-8550-c3db93ee6459/014d3f51-c139-40a9-ad67-634515072c4f/45.jpg?w=690&auto=format
366,Maruti Alto K10,"2,72,000",2014,55518,PETROL,"Tathawade, Pune",https://www.cars24.com/buy-used-maruti-alto-k10-2014-cars-pune-10657251775/,https://fastly-production.24c.in/hello-ar/dev/uploads/ac2e7cb5-e311-45a1-b9f6-3a772462dbb0/0b070e41-fc50-4f3e-961a-22f7e1c152b2/45.jpg?w=690&auto=format
367,Maruti Celerio,"4,22,000",2015,33981,PETROL,"Tathawade, Pune",https://www.cars24.com/buy-used-maruti-celerio-2015-cars-pune-10690953786/,https://fastly-production.24c.in/hello-ar/dev/uploads/e4e97b13-2d88-4f62-9fd9-487f8ee797d3/4741c266-5e57-492c-95a9-66828ef02136/45.jpg?w=690&auto=format
368,Ford New Figo,"7,16,000",2020,38399,DIESEL,"Undri, Pune",https://www.cars24.com/buy-used-ford-new-figo-2020-cars-pune-10683755751/,https://fastly-production.24c.in/hello-ar/dev/uploads/182fec97-a9df-4dcf-8334-c40cd2601261/d6994e2f-f7c8-43f0-9b57-fd1b13ef1a8f/45.jpg?w=690&auto=format
369,Honda WR-V,"6,39,000",2017,80735,PETROL,"Undri, Pune",https://www.cars24.com/buy-used-honda-wr-v-2017-cars-pune-10659112786/,https://fastly-production.24c.in/hello-ar/dev/uploads/ec385ea7-046d-404b-b9b0-aaadfcd0eb64/43ed3c8d-3881-43c8-bee8-91aed5eb0985/45.jpg?w=690&auto=format
370,Maruti Ciaz,"8,26,000",2018,71928,PETROL,"Undri, Pune",https://www.cars24.com/buy-used-maruti-ciaz-2018-cars-pune-10676059737/,https://fastly-production.24c.in/hello-ar/dev/uploads/93f18cae-d9e0-4af2-95a5-96f9e7df2a73/7b6d2099-e13e-4f8b-9062-6005be1d5c3e/45.jpg?w=690&auto=format
371,Honda City,"8,76,000",2018,46694,PETROL,"Undri, Pune",https://www.cars24.com/buy-used-honda-city-2018-cars-pune-12587551774/,https://fastly-production.24c.in/hello-ar/dev/uploads/3ed06281-516e-4722-af34-92ec666d4200/3412d3c8-7624-4f3c-be93-b1d4ed5e00ad/46.jpg?w=690&auto=format
372,Maruti Ertiga,"10,10,000",2018,59454,DIESEL,"Undri, Pune",https://www.cars24.com/buy-used-maruti-ertiga-2018-cars-pune-10654250738/,https://fastly-production.24c.in/hello-ar/dev/uploads/38def6c6-3534-44f8-95ce-8feb31ede476/1d07315b-390c-4517-92da-2a6529d6efdd/46.jpg?w=690&auto=format
373,Maruti Alto 800,"3,23,000",2016,22702,PETROL,"Undri, Pune",https://www.cars24.com/buy-used-maruti-alto-800-2016-cars-pune-10607256751/,https://fastly-production.24c.in/hello-ar/dev/uploads/98e72425-a901-4d9b-a411-148e7f6cf726/671d31fb-05ec-4936-9918-6886e6f77eb3/45.jpg?w=690&auto=format
374,Ford Ecosport,"9,22,000",2020,68850,DIESEL,"Tathawade, Pune",https://www.cars24.com/buy-used-ford-ecosport-2020-cars-pune-10602718789/,https://fastly-production.24c.in/hello-ar/dev/uploads/f0cc2838-3238-4e34-8984-076e3bb1b4d0/b80b603f-7992-40d7-92b2-6befc6abb65f/45.jpg?w=690&auto=format
375,Honda Jazz,"5,57,000",2017,97372,PETROL,"Tathawade, Pune",https://www.cars24.com/buy-used-honda-jazz-2017-cars-pune-10619478753/,https://fastly-production.24c.in/hello-ar/dev/uploads/55292a0b-d692-4904-a7d2-a36a43c9a70e/e76462f2-05cd-44d9-8248-0ae446131bf5/44.jpg?w=690&auto=format
376,Ford Ecosport,"6,50,000",2016,113828,DIESEL,"Undri, Pune",https://www.cars24.com/buy-used-ford-ecosport-2016-cars-pune-10686959771/,https://fastly-production.24c.in/hello-ar/dev/uploads/a00fbb31-870e-416b-9f48-bce50ef765dd/7881f2fb-ef6c-44c5-ad0c-87e6fe29eaff/46.jpg?w=690&auto=format
