CarName,Price,Year,KilometersDriven,Fuel Type,Location
Hyundai Fluidic Verna,"5,68,000",2014,"71,000 km",Diesel,Chembur
Honda City ZX,"1,45,000",2008,"89,000 km",CNG & Hybrids,Vile Parle East
Land Rover Range Rover Evoque,"68,00,000",2021,"23,000 km",Diesel,Bandra West
Maruti Suzuki Swift-Dzire,"2,49,000",2010,"32,200 km",Petrol,Santacruz West
Volkswagen Polo,"8,50,000",2019,"25,000 km",Petrol,Bandra West
Hyundai i20,"3,25,000",2014,"69,000 km",Petrol,Chembur
Hyundai Grand i10,"5,25,000",2019,"22,600 km",Petrol,Chembur
Land Rover Range Rover Evoque,"66,00,000",2020,"8,700 km",Petrol,Dharavi
Hyundai Venue,"7,99,999",2019,"24,000 km",Petrol,Matunga Road
Toyota Etios,"4,99,999",2016,"48,400 km",Petrol,Juhu Tara Road
Mercedes-Benz C-Class,"10,25,000",2012,"67,500 km",Petrol,Bandra West
Mercedes-Benz GLA Class,"16,99,999",2015,"47,500 km",Petrol,Santacruz East
Audi A4,"10,50,000",2013,"54,000 km",Diesel,Chembur
BMW X7,"1,09,00,000",2021,"38,000 km",Diesel,Santacruz West
Hyundai Creta,"12,45,000",2018,"42,817 km",Petrol,Vile Parle East
Toyota Camry,"14,60,000",2014,"77,844 km",Petrol,Chembur
Mercedes-Benz A Class,"13,95,000",2015,"49,800 km",Diesel,Dadar East
Mercedes-Benz GLC Class,"62,00,000",2021,"23,000 km",Petrol,Santacruz East
Mini Cooper Convertible,"37,00,000",2016,"27,000 km",Petrol,Dadar West
Maruti Suzuki Swift,"4,99,999",2016,"47,247 km",Petrol,Chembur
Ford Figo,"1,85,000",2013,"55,241 km",Petrol,Sion West
Nissan Terrano,"5,40,000",2015,"62,500 km",Diesel,Tilak Nagar
Honda City,"4,99,999",2014,"81,000 km",Diesel,Bandra West
Mercedes-Benz E-Class,"16,25,000",2013,"51,000 km",Diesel,Matunga Road
Kia Sonet,"13,95,000",2022,"41,000 km",Diesel,Bandra West
Mini Cooper Convertible,"44,00,000",2019,"23,000 km",Petrol,Bandra West
BMW 3 Series,"50,50,000",2021,"7,600 km",Petrol,Bandra West
Hyundai i10,"2,75,000",2011,"65,000 km",CNG & Hybrids,Matunga Road
BMW 3 Series,"8,75,000",2011,"84,000 km",Diesel,Matunga Road
Toyota Camry,"7,45,000",2012,"55,000 km",Petrol,Santacruz West
Hyundai Creta,"12,85,000",2021,"38,300 km",Diesel,Dadar East
Land Rover Range Rover,"65,00,000",2013,"79,500 km",Diesel,Bandra West
