,CarName,Price,Year,KilometersDriven,Fuel Type,Location
186,Maruti Swift,"4,58,000",2013,"91,718 KM",DIESEL,"Mulund, Mumbai"
187,Hyundai i10,"2,83,000",2014,"22,330 KM",PETROL,"Goregaon, Mumbai"
188,Maruti Ritz,"2,44,000",2012,"19,471 KM",PETROL,"Mulund, Mumbai"
189,Tata NEXON,"6,16,000",2018,"28,931 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
190,Maruti New Wagon-R,"4,95,000",2019,"25,032 KM",PETROL,"Mulund, Mumbai"
191,Nissan Micra,"3,35,600",2014,"35,345 KM",PETROL,"Mulund, Mumbai"
192,Maruti Baleno,"5,37,000",2018,"27,163 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
193,Maruti Wagon R 1.0,"3,39,000",2014,"18,501 KM",PETROL,"Goregaon, Mumbai"
194,Volkswagen Polo,"6,56,000",2020,"26,754 KM",PETROL,"Mulund, Mumbai"
195,Hyundai Creta,"7,15,000",2017,"81,347 KM",PETROL,"Mulund, Mumbai"
196,Maruti Alto 800,"2,95,000",2015,"70,411 KM",CNG,"Mulund, Mumbai"
197,Hyundai AURA,"7,09,000",2021,"66,479 KM",CNG,"Mulund, Mumbai"
198,Datsun Go,"2,36,000",2014,"18,499 KM",PETROL,"Goregaon, Mumbai"
199,Skoda Rapid,"5,47,000",2015,"93,954 KM",DIESEL,"Goregaon, Mumbai"
200,Tata Tiago,"4,79,000",2018,"11,606 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
201,Hyundai Grand i10,"5,46,000",2018,"23,976 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
202,Mahindra XUV500,"12,08,000",2018,"70,203 KM",DIESEL,"Goregaon, Mumbai"
203,Hyundai Creta,"11,29,000",2019,"86,553 KM",CNG,"Mulund, Mumbai"
204,Hyundai Grand i10,"4,86,000",2017,"79,192 KM",DIESEL,"Mulund, Mumbai"
205,Mahindra TUV300,"7,35,000",2018,"69,726 KM",DIESEL,"Goregaon, Mumbai"
206,Hyundai Elite i20,"5,70,000",2017,"12,662 KM",PETROL,"Mulund, Mumbai"
207,Maruti Swift,"5,80,000",2017,"78,195 KM",DIESEL,"Mulund, Mumbai"
208,Honda City,"5,37,000",2015,"81,459 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
209,Maruti Celerio,"4,43,000",2017,"48,726 KM",CNG,"Mulund, Mumbai"
210,Hyundai Grand i10,"3,71,000",2015,"33,716 KM",PETROL,"Goregaon, Mumbai"
211,Maruti Celerio,"3,67,000",2015,"29,535 KM",PETROL,"Mulund, Mumbai"
212,Maruti Ciaz,"6,28,000",2018,"70,467 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
213,Hyundai i20 Active,"5,25,000",2015,"64,315 KM",PETROL,"Goregaon, Mumbai"
214,Hyundai Creta,"9,11,000",2017,"59,964 KM",DIESEL,"Goregaon, Mumbai"
215,Honda City,"7,17,000",2017,"42,503 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
216,Maruti Swift,"4,58,000",2017,"74,478 KM",PETROL,"Goregaon, Mumbai"
217,Hyundai Grand i10,"3,30,000",2013,"53,886 KM",PETROL,"Goregaon, Mumbai"
218,Hyundai i10,"2,26,000",2011,"43,300 KM",PETROL,"Goregaon, Mumbai"
219,Honda City,"5,06,000",2014,"39,773 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
220,Hyundai GRAND I10 NIOS,"5,92,000",2019,"46,573 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
221,Hyundai Verna,"6,71,000",2016,"41,188 KM",PETROL,"Mulund, Mumbai"
222,Maruti Dzire,"5,83,000",2017,"34,963 KM",PETROL,"Mulund, Mumbai"
223,Maruti Ertiga,"5,25,800",2013,"55,834 KM",PETROL,"Mulund, Mumbai"
224,Maruti New Wagon-R,"4,84,000",2019,"12,485 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
225,Renault TRIBER,"6,39,000",2023,"17,978 KM",PETROL,"Goregaon, Mumbai"
226,Honda WR-V,"5,64,000",2017,"44,303 KM",PETROL,"Goregaon, Mumbai"
227,Hyundai Elite i20,"7,19,000",2019,"81,099 KM",DIESEL,"Goregaon, Mumbai"
228,Ford Ecosport,"5,75,000",2016,"1,22,112 KM",DIESEL,"Mulund, Mumbai"
229,Hyundai Verna,"9,81,000",2019,"23,205 KM",PETROL,"Mulund, Mumbai"
230,Honda Jazz,"5,50,000",2017,"31,030 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
