,CarName,Price,Year,KilometersDriven,Fuel Type,Location
313,Maruti Swift,"4,24,000",2013,"57,779 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
314,Honda Amaze,"6,33,000",2018,"77,428 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
315,KIA SELTOS,"14,80,000",2021,"52,779 KM",DIESEL,"Garuda Mall, Magrath Road, Bengaluru"
316,Honda City,"8,41,000",2017,"24,685 KM",PETROL,"Sonnappanahalli, Bengaluru"
317,Ford Ecosport,"6,78,000",2017,"41,134 KM",PETROL,"Sonnappanahalli, Bengaluru"
318,Hyundai NEW I20,"8,38,000",2021,"77,648 KM",DIESEL,"Bellahalli, Bengaluru"
319,Hyundai NEW I20,"10,90,000",2021,"58,286 KM",DIESEL,"Bellahalli, Bengaluru"
320,Maruti Baleno,"6,94,000",2017,"39,481 KM",PETROL,"Bellahalli, Bengaluru"
321,Maruti Wagon R 1.0,"5,08,000",2017,"18,580 KM",PETROL,"GT World Mall, Bengaluru"
322,Hyundai Eon,"2,40,000",2012,"1,04,950 KM",PETROL,"Bellahalli, Bengaluru"
323,Mahindra XUV500,"12,41,000",2016,"7,307 KM",DIESEL,"Garuda Mall, Magrath Road, Bengaluru"
324,Maruti Ritz,"3,35,500",2012,"58,905 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
325,Hyundai GRAND I10 NIOS,"6,32,000",2021,"28,891 KM",PETROL,"Sonnappanahalli, Bengaluru"
326,Hyundai Elite i20,"5,83,000",2015,"79,349 KM",PETROL,"Bellahalli, Bengaluru"
327,Maruti Swift,"7,66,000",2021,"48,148 KM",PETROL,"Sonnappanahalli, Bengaluru"
328,Hyundai i20,"4,60,000",2013,"39,894 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
329,Hyundai Creta,"10,03,000",2017,"58,460 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
330,Maruti Swift,"4,30,000",2012,"97,868 KM",DIESEL,"Bellahalli, Bengaluru"
331,Maruti Swift,"4,31,000",2012,"42,762 KM",PETROL,"Horamavu Agara Road, Bengaluru"
