CarName,Price,Year,KilometersDriven,Fuel Type,Location
Tata Hexa,"10,95,000",2017,"68,000 km",Diesel,"Rajouri Garden, Delhi"
Kia Sonet,"14,75,000",2022,"31,000 km",Diesel,"Rajouri Garden, Delhi"
Jeep Compass,"11,75,000",2017,"30,000 km",Diesel,"Rajouri Garden, Delhi"
Hyundai i20,"5,00,000",2015,"52,000 km",Petrol,"Paschim Vihar, Delhi"
Maruti Suzuki Swift-Dzire,"6,15,000",2018,"48,000 km",Diesel,"Pitampura, Delhi"
Maruti Suzuki Wagon R 1.0,"2,95,000",2014,68000.0 km,CNG & Hybrids,"Peera Garhi, Delhi"
Ford Ecosport,"3,50,000",2014,"76,000 km",Diesel,"Vikaspuri, Delhi"
Renault Duster,"2,90,000",2013,"64,732 km",Diesel,"Peera Garhi, Delhi"
Hyundai Alcazar,"18,75,000",2021,"11,000 km",Petrol,"Vikaspuri, Delhi"
Toyota Fortuner,"14,75,000",2015,"122,000 km",Diesel,"Pitampura, Delhi"
Mahindra XUV500,"7,95,000",2017,"76,000 km",Diesel,"Pitampura, Delhi"
Honda City,"4,75,000",2014,"72,000 km",Diesel,"Pitampura, Delhi"
Maruti Suzuki S-Presso,"4,90,000",2021,"22,000 km",CNG & Hybrids,"Pitampura, Delhi"
Maruti Suzuki Swift,"5,75,000",2018,"65,000 km",Petrol,"Pitampura, Delhi"
Mahindra XUV500,"9,45,000",2016,"42,000 km",Diesel,"Jawalaheri, Delhi"
Hyundai Creta,"8,40,000",2017,"58,000 km",Petrol,"Pitampura, Delhi"
Hyundai i20,"2,75,000",2012,"65,000 km",Petrol,"Vikaspuri, Delhi"
Honda Civic,"17,65,000",2020,"48,000 km",Petrol,"Vishnu Garden, Delhi"
Honda City,"9,25,000",2019,"24,000 km",Petrol,"Vishnu Garden, Delhi"
Toyota Etios,"2,30,000",2011,"95,000 km",Petrol,"Pitampura, Delhi"
Maruti Suzuki Swift,"2,75,000",2012,"66,000 km",Petrol,"Pitampura, Delhi"
Hyundai Elite i20,"4,25,000",2014,"65,000 km",CNG & Hybrids,"Pitampura, Delhi"
Renault Duster,"5,45,000",2016,"71,000 km",Diesel,"Ramesh Nagar, Delhi"
