CarName,Price,Year,KilometersDriven,Fuel Type,Location
Maruti Suzuki Ciaz,"5,15,000",2015,"65,000 km",Petrol,"Modi Colony, Pune"
Skoda Laura,"2,79,000",2010,"104,000 km",Petrol,"Swatantrya Sainik Nagar, Pune"
Maruti Suzuki Swift-Dzire,"8,50,000",2019,"77,178 km",Diesel,"Central Street Camp, Pune"
Mahindra Bolero,"4,25,000",2012,"148,000 km",Diesel,"Swargate, Pune"
Honda City,"3,00,000",2011,"82,000 km",Petrol,"Modi Colony, Pune"
BMW 3 Series,"25,99,000",2017,"58,000 km",Diesel,"Shivaji Nagar, Pune"
Mercedes-Benz C-Class,"61,77,607",2023,"2,137 km",Diesel,"Koregaon park, Pune"
Tata Manza,"2,35,000",2011,"105,000 km",Diesel,"Swargate, Pune"
Maruti Suzuki Celerio,"4,00,000",2014,"57,856 km",Petrol,"Walvekar Nagar, Pune"
Renault KWID,"5,25,000",2022,"15,000 km",Petrol,"Koregaon park, Pune"
Tata Nexon,"10,50,000",2022,"26,000 km",Diesel,"Shivaji Nagar, Pune"
Maruti Suzuki Swift-Dzire,"2,99,000",2009,"107,000 km",Diesel,"Swargate, Pune"
Volkswagen VentoTest,"8,00,000",2018,"50,270 km",Petrol,"Swargate, Pune"
Nissan Terrano,"6,80,000",2016,"31,000 km",Diesel,"Shivaji Nagar, Pune"
BMW 3 Series,"9,90,000",2013,"70,000 km",Diesel,"Pune Vidyapith, Pune"
Skoda Rapid,"7,75,000",2018,"38,000 km",Petrol,"Koregaon park, Pune"
Volkswagen Polo,"3,99,999",2014,"61,000 km",Petrol,"Central Street Camp, Pune"
Mercedes-Benz GLC Class,"69,74,000",2021,"29,350 km",Diesel,"Shivaji Nagar, Pune"
Mahindra Scorpio,"6,45,000",2014,"94,000 km",Diesel,"Shivaji Nagar, Pune"
Toyota Innova,"9,95,000",2013,"120,000 km",Diesel,"Shivaji Nagar, Pune"
Audi A6,"10,99,000",2012,"113,000 km",Diesel,"Pune Cantonment, Pune"
Toyota Yaris,"8,00,000",2019,"59,000 km",Petrol,"Shivaji Nagar, Pune"
Mercedes-Benz E-Class,"15,50,000",2012,"45,800 km",Diesel,"Shivaji Nagar, Pune"
