,CarName,Price,Year,KilometersDriven,Fuel Type,Location
129,Maruti Suzuki Swift-Dzire,"7,50,000",2018,"98,000 km",Petrol,"Moosapet, Hyderabad"
130,Toyota Innova Crysta,"19,75,000",2018,"47,977 km",Diesel,"Madhapur, Hyderabad"
131,Maruti Suzuki Swift-Dzire,"6,20,000",2018,"92,000 km",Diesel,"Balkampet, Hyderabad"
132,Maruti Suzuki S-Cross,"9,75,000",2019,"93,000 km",Diesel,"Ameerpet, Hyderabad"
133,Hyundai Verna,"9,45,000",2020,"40,489 km",Petrol,"Madhapur, Hyderabad"
134,Ford Ecosport,"8,45,000",2019,"70,179 km",Petrol,"Madhapur, Hyderabad"
135,BMW X3,"49,00,000",2019,"57,700 km",Diesel,"Madhapur, Hyderabad"
136,Maruti Suzuki Wagon-R,"3,65,000",2014,"90,000 km",LPG,"Old Bowenpally Sri Sai Enclave, Secunderabad, Hyderabad"
137,Maruti Suzuki Swift,"6,95,000",2018,"81,000 km",Diesel,"Old Bowenpally Sri Sai Enclave, Secunderabad, Hyderabad"
138,Renault KWID,"5,25,000",2021,"28,000 km",Petrol,"Old Bowenpally Sri Sai Enclave, Secunderabad, Hyderabad"
139,BMW X3,"38,00,000",2017,"54,000 km",Diesel,"Venktagiri Nagar, Hyderabad"
140,Hyundai i20 Active,"5,95,000",2017,"80,000 km",Petrol,"Panjagutta, Hyderabad"
141,Hyundai Xcent,"4,45,000",2015,"80,000 km",Petrol,"Panjagutta, Hyderabad"
142,Maruti Suzuki Swift-Dzire,"3,90,000",2011,"73,000 km",Diesel,"Balkampet, Hyderabad"
143,Audi Q3,"15,50,000",2013,"76,000 km",Diesel,"Madhapur, Hyderabad"
144,BMW X5,"38,50,000",2016,"110,000 km",Diesel,"Madhapur, Hyderabad"
145,Honda City,"8,25,000",2017,"74,000 km",Petrol,"Begumpet, Hyderabad"
146,Hyundai Xcent Prime,"3,80,000",2016,"112,467 km",Diesel,"Madhapur, Hyderabad"
147,Toyota Innova Crysta,"20,95,000",2019,"123,000 km",Diesel,"Balkampet, Hyderabad"
148,Ford Ecosport,"6,95,000",2016,"72,000 km",Diesel,"Old Bowenpally Sri Sai Enclave, Secunderabad, Hyderabad"
149,Tata Nexon,"8,95,000",2018,"100,000 km",Diesel,"Old Bowenpally Sri Sai Enclave, Secunderabad, Hyderabad"
