,CarName,Price,Year,KilometersDriven,Fuel Type,Location
234,Honda City,"6,49,999",2015,"61,223 km",Petrol,"Chembur, Mumbai"
235,Ford Ecosport,"7,85,000",2018,"71,779 km",Petrol,"Sion East, Mumbai"
236,Land Rover Range Rover Sport,"58,00,000",2014,"70,000 km",Diesel,"Bandra West, Mumbai"
237,Toyota Innova Crysta,"18,51,000",2018,"59,284 km",Diesel,"Kurla West, Mumbai"
238,Hummer H2,"69,68,999",2016,"25,000 km",Petrol,"Bandra West, Mumbai"
239,Honda Amaze,"4,50,000",2013,"33,000 km",Diesel,"Chembur, Mumbai"
240,Honda Amaze,"8,75,000",2018,"47,000 km",Diesel,"Chembur, Mumbai"
241,Maruti Suzuki Swift,"6,45,000",2018,"16,000 km",Petrol,"Chembur, Mumbai"
242,Audi A6,"19,75,000",2016,"61,000 km",Petrol,"Chembur, Mumbai"
243,Tata EV,"13,99,000",2020,"16,000 km",Electric,"Chembur, Mumbai"
244,Volkswagen Virtus,"19,75,000",2023,"10,000 km",Petrol,"Bandra Kurla Complex, Mumbai"
245,Skoda Kushaq,"16,75,000",2021,"23,000 km",Petrol,"Chembur, Mumbai"
246,Mercedes-Benz C-Class,"9,95,000",2013,"58,986 km",Diesel,"Vile Parle East, Mumbai"
247,Toyota Innova,"8,25,000",2014,"114,930 km",Diesel,"Chembur, Mumbai"
248,Hyundai Verna,"2,50,000",2010,"81,000 km",Diesel,"Dadar East, Mumbai"
249,Honda City,"6,85,000",2018,"81,000 km",Petrol,"Wadala West, Mumbai"
250,Honda City,"8,75,000",2017,"31,000 km",Petrol,"Matunga Road, Mumbai"
251,Hyundai Grand i10,"4,49,999",2016,"16,000 km",Petrol,"Matunga Road, Mumbai"
252,Hyundai i20,"4,10,000",2012,"31,000 km",Petrol,"Matunga Road, Mumbai"
253,Honda City,"2,20,000",2009,"78,869 km",Petrol,"Chembur, Mumbai"
254,Maruti Suzuki Celerio,"4,65,000",2016,"60,657 km",Petrol,"Chembur, Mumbai"
255,Hyundai Fluidic Verna,"2,90,000",2012,"71,555 km",Petrol,"Chembur, Mumbai"
256,Maruti Suzuki maruti-suzuki-dzire,"6,25,111",2018,"26,500 km",Petrol,"Bandra West, Mumbai"
257,Mercedes-Benz CLA,"18,75,000",2016,"51,000 km",Diesel,"Bandra West, Mumbai"
258,Mercedes-Benz E-Class,"10,50,000",2012,118000.0 km,Diesel,"Bandra West, Mumbai"
259,Hyundai Venue,"11,85,000",2020,"16,000 km",Petrol,"Bandra West, Mumbai"
260,Skoda Rapid,"5,75,000",2016,"12,000 km",Petrol,"Bandra West, Mumbai"
261,Audi A4,"5,90,000",2008,38000.0 km,Petrol,"Bandra West, Mumbai"
262,Isuzu MU-7,"8,50,000",2015,"65,000 km",Diesel,"Bandra West, Mumbai"
263,Mercedes-Benz R-Class,"11,25,000",2011,"82,000 km",Petrol,"Bandra West, Mumbai"
264,Toyota Innova,"4,50,000",2009,"168,000 km",Diesel,"Wadala West, Mumbai"
265,BMW 5 Series,"69,00,000",2022,"2,000 km",Diesel,"Santacruz East, Mumbai"
266,Hyundai Creta,"8,95,000",2016,"49,341 km",Petrol,"Chembur, Mumbai"
267,Fiat Abarth 595,"6,95,000",2017,"21,000 km",Petrol,"Bandra West, Mumbai"
268,Other Brands Others,"6,75,000",1942,50000.0 km,Diesel,"Bandra West, Mumbai"
269,Land Rover Range Rover,"11,50,000",2003,"75,000 km",Diesel,"Bandra West, Mumbai"
270,Toyota Urban Cruiser,"10,99,000",2020,"3,616 km",Petrol,"Kurla West, Mumbai"
271,Mercedes-Benz E-Class,"8,75,000",2011,"129,000 km",Diesel,"Chembur, Mumbai"
272,Honda Jazz,"5,00,000",2015,"94,000 km",Diesel,"Chembur, Mumbai"
273,Honda City,"7,75,000",2017,"84,000 km",Diesel,"Chembur, Mumbai"
274,Toyota Innova Crysta,"19,51,000",2018,"740,009 km",Diesel,"Kurla West, Mumbai"
275,Honda City,"5,50,000",2016,"82,000 km",Petrol,"Matunga Road, Mumbai"
276,Hyundai Creta,"10,75,000",2018,"46,839 km",Diesel,"Chembur, Mumbai"
277,Hyundai Grand i10,"5,25,000",2018,"45,123 km",Petrol,"Sion East, Mumbai"
278,Honda City,"6,75,000",2017,"78,556 km",Diesel,"Chembur, Mumbai"
279,Hyundai i10,"3,49,000",2013,"47,184 km",Petrol,"Chembur, Mumbai"
280,Toyota Etios,"2,25,000",2011,"72,555 km",Petrol,"Chembur, Mumbai"
281,Maruti Suzuki Baleno-RS,"6,95,000",2017,"38,000 km",Petrol,"Chembur, Mumbai"
282,Toyota Corolla Altis,"3,50,000",2010,"97,000 km",Petrol,"Bandra West, Mumbai"
283,Hyundai Elite i20,"6,75,000",2019,"23,231 km",Petrol,"Chembur, Mumbai"
284,BMW X3,"21,00,000",2016,"104,000 km",Diesel,"Chembur, Mumbai"
285,Honda City,"4,95,000",2014,"49,000 km",Petrol,"Dadar East, Mumbai"
286,Hyundai Venue,"10,85,000",2020,"26,500 km",Petrol,"Chembur, Mumbai"
287,BMW X1,"29,95,000",2019,"24,000 km",Diesel,"Chembur, Mumbai"
288,Honda Jazz,"6,25,000",2017,"44,000 km",Petrol,"Chembur, Mumbai"
289,Honda City ZX,"1,75,000",2008,"146,912 km",Petrol,"Bandra Kurla Complex, Mumbai"
290,Toyota Corolla Altis,"9,25,000",2016,"44,800 km",Petrol,"Chembur, Mumbai"
291,Honda CRV,"19,90,000",2018,"56,000 km",Petrol,"Khar West, Mumbai"
292,Volkswagen Polo,"2,53,000",2011,"63,000 km",Petrol,"Bandra West, Mumbai"
293,Land Rover Range Rover Sport,"87,00,000",2019,"65,000 km",Petrol,"Bandra West, Mumbai"
294,Toyota Fortuner,"30,99,000",2017,"115,783 km",Diesel,"Kurla West, Mumbai"
295,Mercedes-Benz GL-Class,"13,11,000",2008,"120,000 km",Diesel,"Bandra West, Mumbai"
296,Land Rover Range Rover Sport,"18,50,000",2007,58925.0 km,Petrol,"Bandra West, Mumbai"
297,Honda Jazz,"2,25,000",2010,"60,000 km",Petrol,"Bandra West, Mumbai"
298,Mercedes-Benz S-Class,"7,75,000",2007,"121,000 km",Diesel,"Bandra West, Mumbai"
299,Hyundai Sonata Embera,"2,95,000",2010,"100,000 km",Diesel,"Bandra West, Mumbai"
