CarName,Price,Year,KilometersDriven,Fuel Type,Location
Hyundai Grand i10 Nios AMT Sportz,6.85 Lakh,2019,"85,368 km",Petrol,"Begumbazar, Hyderabad"
Volkswagen Vento 1.5 TDI Highline,4.65 Lakh,2013,"80,689 km",Diesel,"Nagol, Hyderabad"
Hyundai Verna VTVT 1.6 SX,9.50 Lakh,2019,"71,728 km",Petrol,"Gandhi Bhawan, Hyderabad"
Hyundai Creta 1.6 CRDi SX,10.30 Lakh,2017,"66,984 km",Diesel,"Gandhi Bhawan, Hyderabad"
Jeep Wrangler Unlimited BSVI,61.50 Lakh,2021,"21,000 km",Petrol,"Ammerpet, Hyderabad"
Honda WR-V VX,9.39 Lakh,2021,"30,300 km",Petrol,"Vidyanagar, Hyderabad"
Skoda Rapid 1.5 TDI Elegance Plus,5.50 Lakh,2015,"81,255 km",Diesel,"Nagol, Hyderabad"
Maruti Ciaz Alpha Automatic BSIV,10.25 Lakh,2020,"40,000 km",Petrol,"Ammerpet, Hyderabad"
Hyundai i20 Asta 1.4 CRDi,4.50 Lakh,2013,"91,323 km",Diesel,"Nagol, Hyderabad"
Mahindra XUV500 W11 Option,19.75 Lakh,2021,"37,000 km",Diesel,"Ammerpet, Hyderabad"
Ford Figo 1.5D Titanium MT,5.51 Lakh,2018,"62,500 km",Diesel,"Vidyanagar, Hyderabad"
Maruti Baleno 1.2 Delta,5.56 Lakh,2016,"97,379 km",Petrol,"Rangareddi, Hyderabad"
Maruti Baleno 1.2 Delta,5.40 Lakh,2016,"89,422 km",Petrol,"Begumbazar, Hyderabad"
Honda Amaze VX Diesel,8.45 Lakh,2019,"37,742 km",Diesel,"Gandhi Bhawan, Hyderabad"
Hyundai Grand i10 Nios Sportz,6.42 Lakh,2020,"43,898 km",Petrol,"Begumbazar, Hyderabad"
Hyundai Grand i10 Nios Sportz,6.42 Lakh,2020,"52,717 km",Petrol,"Rahmath Nagar, Hyderabad"
Ford Ecosport 1.5 TDCi Titanium Plus BSIV,9.30 Lakh,2019,"70,286 km",Diesel,"Gandhi Bhawan, Hyderabad"
Honda Jazz ZX,8.34 Lakh,2021,"32,372 km",Petrol,"Rahmath Nagar, Hyderabad"
Hyundai Grand i10 1.2 Kappa Sportz BSIV,4.75 Lakh,2018,"81,000 km",Petrol,"L B Nagar, Hyderabad"
Maruti Brezza Zxi BSVI,12.03 Lakh,2022,"24,262 km",Petrol,"Begumbazar, Hyderabad"
Hyundai Santro Sportz BSIV,5.03 Lakh,2019,"32,039 km",Petrol,"Begumbazar, Hyderabad"
Maruti Ciaz Alpha Diesel,7.65 Lakh,2017,"92,000 km",Diesel,"Lb Nagar, Hyderabad"
Hyundai i20 Petrol Asta,7.65 Lakh,2018,"62,000 km",Petrol,"Uppal, Hyderabad"
Ford Endeavour Titanium Plus 4X4 AT,35.99 Lakh,2021,"76,000 km",Diesel,"Ammerpet, Hyderabad"
Maruti SX4 S Cross Zeta DDiS 200 SH,9.50 Lakh,2018,"86,202 km",Diesel,"Nagol, Hyderabad"
Maruti Vitara Brezza ZDi Plus,8.50 Lakh,2017,"1,43,000 km",Diesel,"Uppal, Hyderabad"
Hyundai Creta 1.6 E Plus,8.30 Lakh,2016,"96,152 km",Petrol,"Gandhi Bhawan, Hyderabad"
Hyundai i20 Asta 1.4 CRDi,5.65 Lakh,2014,"98,000 km",Diesel,"Uppal, Hyderabad"
Maruti Swift VDI,6.25 Lakh,2016,"56,000 km",Diesel,"L B Nagar, Hyderabad"
Maruti Wagon R VXI Opt,5 Lakh,2018,"63,000 km",Petrol,"L B Nagar, Hyderabad"
Fiat Abarth Avventura 1.4 T-Jet,5.25 Lakh,2015,"1,10,000 km",Petrol,"Begumpet, Hyderabad"
Hyundai Grand i10 1.2 Kappa Sportz BSIV,6.15 Lakh,2020,"73,680 km",Petrol,"Begumbazar, Hyderabad"
Maruti Wagon R VXI BS IV,3.18 Lakh,2014,"67,549 km",Petrol,"Rahmath Nagar, Hyderabad"
Nissan Micra Active XV,4.99 Lakh,2018,"75,000 km",Petrol,"Ammerpet, Hyderabad"
Maruti Baleno 1.2 Zeta,7.24 Lakh,2019,"44,731 km",Petrol,"Rahmath Nagar, Hyderabad"
Honda Jazz 1.2 V i VTEC,5.54 Lakh,2017,"84,952 km",Petrol,"Rangareddi, Hyderabad"
Mahindra Marazzo M8,9.80 Lakh,2018,"1,29,922 km",Diesel,"Nagole, Hyderabad"
Maruti Swift VXI,5.69 Lakh,2017,"68,883 km",Petrol,"Rangareddi, Hyderabad"
Maruti Ciaz VDi Plus,7.30 Lakh,2016,"70,392 km",Diesel,"Nagol, Hyderabad"
Honda Jazz 1.2 V i VTEC,5.29 Lakh,2017,"91,115 km",Petrol,"Begumbazar, Hyderabad"
Maruti Swift ZDi,4.45 Lakh,2012,"99,323 km",Diesel,"Begumbazar, Hyderabad"
BMW 5 Series 520d Modern Line,19.99 Lakh,2014,"1,09,000 km",Diesel,"Ammerpet, Hyderabad"
Land Rover Range Rover 4.4 Diesel LWB Autobiography,1.95 Crore,2018,"56,887 km",Diesel,"Madhapur, Hyderabad"
Toyota Fortuner 3.0 Diesel,13.50 Lakh,2011,"1,89,240 km",Diesel,"Gandhi Bhawan, Hyderabad"
Toyota Fortuner 3.0 Diesel,13.50 Lakh,2011,"2,60,000 km",Diesel,"Ammerpet, Hyderabad"
Hyundai Santro Xing GLS,2.45 Lakh,2010,"31,000 km",Petrol,"Lb Nagar, Hyderabad"
Hyundai Santro Magna,4.70 Lakh,2019,"57,903 km",Petrol,"Nagole, Hyderabad"
Maruti Swift VDI,4.10 Lakh,2012,"84,149 km",Diesel,"Nagol, Hyderabad"
Maruti Alto K10 2010-2014 VXI,2.25 Lakh,2014,"60,000 km",Petrol,Hyderabad
Hyundai i20 Magna 1.4 CRDi (Diesel),4.20 Lakh,2012,"60,000 km",Diesel,Hyderabad
Maruti Baleno Zeta CVT,7.80 Lakh,2021,"48,364 km",Petrol,"Gandhi Bhawan, Hyderabad"
Maruti Brezza Zxi BSVI,11.82 Lakh,2022,"65,772 km",Petrol,"Begumbazar, Hyderabad"
Maruti Ciaz Delta 1.5,7.59 Lakh,2019,"83,853 km",Diesel,"Rahmath Nagar, Hyderabad"
Renault KWID 1.0 RXT Optional,3.30 Lakh,2017,"50,000 km",Petrol,Hyderabad
Honda City V MT,5.11 Lakh,2013,"70,653 km",Petrol,"Rangareddi, Hyderabad"
Nissan Magnite XV DT BSVI,7.82 Lakh,2021,"40,090 km",Petrol,"Rahmath Nagar, Hyderabad"
Hyundai Grand i10 1.2 Kappa Sportz Option AT,6.35 Lakh,2019,"50,000 km",Petrol,Hyderabad
Maruti Brezza Zxi,12.70 Lakh,2023,"6,829 km",Petrol,"Vanastalipuram, Hyderabad"
Hyundai Verna 1.6 CRDi EX MT,4.50 Lakh,2012,"1,20,000 km",Diesel,Hyderabad
Kia Sonet GTX Plus Turbo DCT DT,11.28 Lakh,2020,"43,942 km",Petrol,"Begumbazar, Hyderabad"
Maruti Baleno 1.2 CVT Alpha,7.92 Lakh,2020,"51,477 km",Petrol,"Rahmath Nagar, Hyderabad"
Maruti Swift Dzire AMT ZDI,7.50 Lakh,2018,"75,000 km",Diesel,"Alwal, Hyderabad"
Maruti Alto 800 LXI,1.85 Lakh,2012,"84,742 km",Petrol,"Nagole, Hyderabad"
Maruti Swift Dzire VXI 1.2,5.60 Lakh,2016,"75,297 km",Petrol,"Gandhi Bhawan, Hyderabad"
Maruti Swift VXI BSVI,6.65 Lakh,2021,"42,600 km",Petrol,"Vidyanagar, Hyderabad"
Hyundai Grand i10 CRDi Asta,4.50 Lakh,2013,"85,718 km",Diesel,"Gandhi Bhawan, Hyderabad"
Maruti Swift Dzire VXI,8 Lakh,2022,"45,000 km",Petrol,"L B Nagar, Hyderabad"
Maruti Ertiga ZDI Plus,9.90 Lakh,2018,"1,07,000 km",Diesel,"Uppal, Hyderabad"
Hyundai Creta SX Opt Turbo DT DCT,15.50 Lakh,2020,"64,720 km",Petrol,"Gandhi Bhawan, Hyderabad"
Audi Q7 45 TDI Quattro Technology,36.90 Lakh,2016,"49,200 km",Diesel,"Paltra, Gurgaon"
Maruti Swift Dzire Tour 1.3 S Diesel,5.85 Lakh,2018,"1,17,000 km",Diesel,"Ammerpet, Hyderabad"
Maruti Alto 800 LXI,3.20 Lakh,2018,"37,034 km",Petrol,"Rangareddi, Hyderabad"
Maruti S-Presso VXI Plus 2019-2022,4.48 Lakh,2019,"29,687 km",Petrol,"Begumbazar, Hyderabad"
MG Hector Sharp Diesel MT,15.80 Lakh,2019,"96,000 km",Diesel,"Lb Nagar, Hyderabad"
Maruti Wagon R LXI BS IV,3.11 Lakh,2014,"84,432 km",Petrol,"Rangareddi, Hyderabad"
Maruti Alto 800 LXI,2.27 Lakh,2013,"65,610 km",Petrol,"Begumbazar, Hyderabad"
Mahindra Scorpio S11,18.95 Lakh,2020,"66,900 km",Diesel,"Uppal, Hyderabad"
Maruti Celerio ZXI AMT,4.70 Lakh,2017,"72,602 km",Petrol,"Begumbazar, Hyderabad"
Toyota Corolla Altis 1.8 VL AT,3.50 Lakh,2010,"1,10,000 km",Petrol,Hyderabad
Ford Freestyle Flair Edition,6.64 Lakh,2020,"33,881 km",Petrol,"Begumbazar, Hyderabad"
Maruti Swift VXI,7.09 Lakh,2022,"17,534 km",Petrol,"Begumbazar, Hyderabad"
Maruti Ertiga ZDI Plus,12.75 Lakh,2020,"1,04,000 km",Diesel,"Uppal, Hyderabad"
Maruti Ertiga SHVS ZDI Plus,9.40 Lakh,2017,"47,053 km",Diesel,"Nagol, Hyderabad"
Toyota Corolla Altis 1.8 VL CVT,14.99 Lakh,2018,"26,000 km",Petrol,"Ammerpet, Hyderabad"
Hyundai i10 Sportz 1.2,3.60 Lakh,2015,"1,01,006 km",Petrol,"Nagole, Hyderabad"
Maruti Swift LDI,3.60 Lakh,2012,"94,154 km",Diesel,"Nagol, Hyderabad"
Maruti Ertiga ZDI,6.65 Lakh,2013,"91,965 km",Diesel,"Uppal, Hyderabad"
Honda Jazz 1.2 VX i VTEC,6.45 Lakh,2018,"61,000 km",Petrol,"Begumpet, Hyderabad"
Hyundai Verna SX Opt Diesel,11.80 Lakh,2021,"67,000 km",Diesel,"Uppal, Hyderabad"
Mahindra TUV 300 T10,8.99 Lakh,2018,"40,000 km",Diesel,"Ammerpet, Hyderabad"
Maruti Swift Dzire VDI,5.25 Lakh,2014,"1,25,000 km",Diesel,"L B Nagar, Hyderabad"
Renault Duster RXZ Turbo CVT,10.85 Lakh,2020,"68,481 km",Petrol,"Begumbazar, Hyderabad"
Honda Brio S MT,3.19 Lakh,2012,"57,774 km",Petrol,"Rangareddi, Hyderabad"
Mahindra XUV500 W6 2WD,8.35 Lakh,2015,"68,000 km",Diesel,"Begumpet, Hyderabad"
Hyundai Grand i10 Asta,4.79 Lakh,2016,"67,449 km",Petrol,"Rahmath Nagar, Hyderabad"
Hyundai Xcent 1.2 Kappa S,4.58 Lakh,2016,"56,264 km",Petrol,"Vanastalipuram, Hyderabad"
Maruti Ertiga ZDI,6.67 Lakh,2013,"91,000 km",Diesel,"L B Nagar, Hyderabad"
Hyundai Grand i10 Asta,4.69 Lakh,2016,"87,663 km",Petrol,"Begumbazar, Hyderabad"
Hyundai Creta 1.6 CRDi SX Plus,9.80 Lakh,2017,"85,000 km",Diesel,"Lb Nagar, Hyderabad"
Honda Brio 1.2 S Option MT,4.47 Lakh,2018,"90,872 km",Petrol,"Begumbazar, Hyderabad"
Maruti Swift VXI,6.59 Lakh,2021,"50,490 km",Petrol,"Rahmath Nagar, Hyderabad"
Jaguar F-Pace Prestige 2.0 AWD,33.95 Lakh,2017,"89,000 km",Diesel,"Begumpet, Hyderabad"
Maruti Ciaz AT ZXi Plus,6.95 Lakh,2016,"53,000 km",Petrol,"Begumpet, Hyderabad"
Jeep Compass Model S 4X4 Diesel AT BSVI,27.75 Lakh,2021,"41,000 km",Diesel,"Ammerpet, Hyderabad"
Audi A6 35 TDI,21.50 Lakh,2015,"68,000 km",Diesel,"Ammerpet, Hyderabad"
Toyota Innova Crysta 2.4 ZX MT BSIV,26.50 Lakh,2020,"52,000 km",Diesel,"Uppal, Hyderabad"
Maruti Baleno 1.3 Sigma,6.80 Lakh,2017,"1,19,038 km",Diesel,"Gandhi Bhawan, Hyderabad"
Hyundai i20 Petrol Spotz,7.49 Lakh,2019,"66,000 km",Petrol,"Uppal, Hyderabad"
Maruti Ciaz ZDi Plus SHVS,6.80 Lakh,2016,"75,187 km",Diesel,"Nagole, Hyderabad"
Maruti Baleno Zeta,7.95 Lakh,2021,"34,000 km",Petrol,"Uppal, Hyderabad"
Mitsubishi Pajero 2.8 GLX Sports,5.99 Lakh,2006,"1,60,000 km",Diesel,"Ammerpet, Hyderabad"
Hyundai i20 Sportz 1.2,6.75 Lakh,2017,"51,047 km",Petrol,"Rahmath Nagar, Hyderabad"
Toyota Glanza V,7.68 Lakh,2021,"59,859 km",Petrol,"Rangareddi, Hyderabad"
Maruti Ciaz Alpha BSVI,9.95 Lakh,2020,"25,000 km",Petrol,"Ammerpet, Hyderabad"
Honda City i DTec VX Option,6.29 Lakh,2016,"97,541 km",Diesel,"Begumbazar, Hyderabad"
Honda Jazz 1.2 V AT i VTEC,6.38 Lakh,2016,"54,412 km",Petrol,"Rangareddi, Hyderabad"
Maruti Ritz VDI (ABS) BS IV,3.85 Lakh,2014,"90,000 km",Diesel,"Lb Nagar, Hyderabad"
Maruti Alto 800 VXI Plus BSVI,3.93 Lakh,2020,"56,829 km",Petrol,"Vanastalipuram, Hyderabad"
Ford Ecosport 1.5 Petrol Titanium AT,8.90 Lakh,2018,"92,493 km",Petrol,"Nagol, Hyderabad"
Hyundai Grand i10 1.2 Kappa Sportz BSIV,5.37 Lakh,2017,"28,008 km",Petrol,"Rahmath Nagar, Hyderabad"
Datsun GO T Option Petrol,4.91 Lakh,2019,"22,744 km",Petrol,"Begumbazar, Hyderabad"
Maruti Swift AMT ZXI Plus,7.45 Lakh,2019,"90,000 km",Petrol,"Ammerpet, Hyderabad"
Volkswagen Vento 1.5 TDI Highline,9.50 Lakh,2019,"93,000 km",Diesel,"Lb Nagar, Hyderabad"
Hyundai i20 Asta Option 1.2,8.90 Lakh,2017,"61,000 km",Petrol,"Lb Nagar, Hyderabad"
Maruti Ciaz Zeta BSIV,8.30 Lakh,2019,"61,659 km",Petrol,"Rangareddi, Hyderabad"
BMW X6 xDrive 40d M Sport,32.90 Lakh,2015,"74,000 km",Diesel,"Chattarpur, New Delhi"
Honda Jazz 1.2 V i VTEC,6.25 Lakh,2015,"28,000 km",Petrol,"Ammerpet, Hyderabad"
Maruti Celerio ZXI AT,4.50 Lakh,2015,"62,000 km",Petrol,Hyderabad
Mahindra Xylo D4,3.15 Lakh,2016,"1,00,000 km",Diesel,Hyderabad
Chevrolet Cruze LTZ,3.50 Lakh,2012,"1,20,000 km",Diesel,Hyderabad
Mercedes-Benz E-Class Exclusive E 220d,65 Lakh,2020,"10,000 km",Diesel,Hyderabad
Hyundai EON Sportz,3.23 Lakh,2016,"58,248 km",Petrol,"Begumbazar, Hyderabad"
Maruti Ignis 1.2 Delta BSIV,5.01 Lakh,2017,"83,501 km",Petrol,"Vanastalipuram, Hyderabad"
Maruti Swift Dzire VDI,3.60 Lakh,2014,"1,10,000 km",Diesel,Hyderabad
Datsun RediGO AMT 1.0 T Option,4.66 Lakh,2020,"52,236 km",Petrol,"Begumbazar, Hyderabad"
Honda Jazz VX CVT,6.98 Lakh,2019,"71,855 km",Petrol,"Vanastalipuram, Hyderabad"
Hyundai Verna SX,10.90 Lakh,2020,"15,000 km",Petrol,"Uppal, Hyderabad"
Hyundai Aura S,6.89 Lakh,2021,"54,746 km",Petrol,"Rahmath Nagar, Hyderabad"
Renault KWID 1.0 RXL,3.45 Lakh,2017,"42,700 km",Petrol,"L B Nagar, Hyderabad"
Hyundai Grand i10 Nios Sportz CNG,7.93 Lakh,2022,"29,510 km",CNG,"Begumbazar, Hyderabad"
Maruti Wagon R LXI BS IV,2.99 Lakh,2012,"67,345 km",Petrol,"Vanastalipuram, Hyderabad"
Mercedes-Benz C-Class C 220 CDI Avantgarde,31.90 Lakh,2018,"58,000 km",Diesel,"Chattarpur, New Delhi"
Maruti Baleno 1.2 Delta,6.30 Lakh,2019,"38,000 km",Petrol,"Ida Uppal, Hyderabad"
Hyundai Creta SX Executive Diesel BSVI,16 Lakh,2020,"70,000 km",Diesel,Hyderabad
Tata Nexon XZ Plus DualTone Roof S,9.70 Lakh,2021,"20,000 km",Petrol,Hyderabad
Honda Amaze S i-Dtech,4.20 Lakh,2015,"80,000 km",Diesel,Hyderabad
