CarName,Price,Year,KilometersDriven,Fuel Type,Location
Hyundai Verna 1.4 CRDi,6.50 Lakh,2016,"85,000 km",Diesel,"Hadapsar, Pune"
Jeep Compass 1.4 Sport,12.51 Lakh,2019,"41,562 km",Petrol,"Thathawade, Pune"
Maruti Celerio VXI CNG Optional,5.65 Lakh,2021,"63,060 km",CNG,"Dehu Road Cantt, Pune"
Hyundai i10 Asta,2.51 Lakh,2010,"37,893 km",Petrol,"Undri, Pune"
Hyundai Grand i10 1.2 Kappa Sportz Option AT,6.08 Lakh,2019,"27,721 km",Petrol,"Undri, Pune"
Land Rover Discovery Sport TD4 HSE 7S,40 Lakh,2018,"47,400 km",Diesel,"R.s., Pune"
Maruti Wagon R LXI CNG,4.46 Lakh,2017,"90,092 km",CNG,"Undri, Pune"
Maruti Alto K10 VXI Plus,5.26 Lakh,2022,"2,360 km",Petrol,"Undri, Pune"
Hyundai Grand i10 Nios Magna CNG,7.75 Lakh,2022,"14,000 km",CNG,"City, Pune"
Honda City V MT,5.75 Lakh,2014,"28,000 km",Petrol,"Hadapsar, Pune"
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,5.30 Lakh,2019,"73,159 km",Petrol,"Shivajinagar, Pune"
Hyundai i20 Sportz 1.4 CRDi,3.51 Lakh,2013,"97,000 km",Diesel,"Shivajinagar, Pune"
Hyundai Xcent 1.2 CRDi SX Option,4.51 Lakh,2017,"1,61,344 km",Diesel,"Shivajinagar, Pune"
BMW 5 Series 520d M Sport,26.50 Lakh,2017,"1,05,000 km",Diesel,"Mundhwa, Pune"
Maruti SX4 S Cross Alpha DDiS 200 SH,7.50 Lakh,2018,"1,20,000 km",Diesel,"Kothrud, Pune"
Honda City i VTEC SV,5.70 Lakh,2014,"61,822 km",Petrol,"Thathawade, Pune"
Maruti Alto 800 LXI,3.38 Lakh,2017,"48,937 km",Petrol,"Undri, Pune"
BMW 7 Series 730Ld,28 Lakh,2014,"1,33,400 km",Diesel,"R.s., Pune"
Hyundai i20 Magna Optional 1.2,4.85 Lakh,2014,"32,118 km",Petrol,"Undri, Pune"
Hyundai i10 Magna 1.1L,3.15 Lakh,2013,"51,472 km",Petrol,"Thathawade, Pune"
Volkswagen Passat Highline DSG,5.45 Lakh,2012,"1,84,000 km",Diesel,"Mundhwa, Pune"
Renault Triber RXZ,6.23 Lakh,2019,"55,123 km",Petrol,"Undri, Pune"
Hyundai Santro Sportz,5.50 Lakh,2021,"42,904 km",Petrol,"Shivajinagar, Pune"
Maruti S-Presso VXI Plus 2019-2022,4.68 Lakh,2021,"18,071 km",Petrol,"Undri, Pune"
Maruti Celerio VXI AMT,4.06 Lakh,2015,"70,095 km",Petrol,"Thathawade, Pune"
Volkswagen Passat Diesel Comfortline 2.0 TDI,4.75 Lakh,2012,"1,04,000 km",Diesel,"Yerwada, Pune"
Hyundai Grand i10 Magna,4.10 Lakh,2013,"80,499 km",Petrol,"Undri, Pune"
Maruti Wagon R LXI CNG,3.19 Lakh,2013,"93,984 km",CNG,"Undri, Pune"
Hyundai Grand i10 1.2 CRDi Asta,5.90 Lakh,2017,"85,841 km",Diesel,"Shivajinagar, Pune"
Hyundai Grand i10 Magna,4.50 Lakh,2017,"1,31,318 km",Petrol,"Shivajinagar, Pune"
Toyota Corolla AE,4.45 Lakh,2006,"90,000 km",Petrol,Pune
Maruti Swift VXI,5.90 Lakh,2019,"35,000 km",Petrol,"Kothrud, Pune"
Maruti Celerio ZXI AMT BSIV,4.50 Lakh,2017,"44,340 km",Petrol,"Wakad, Pune"
Maruti Alto K10 VXI AMT,3.95 Lakh,2020,"18,000 km",Petrol,"Kothrud, Pune"
Hyundai Creta 1.6 VTVT AT SX Plus,12.75 Lakh,2019,"34,815 km",Petrol,"N I B M, Pune"
Hyundai i10 Magna,2.51 Lakh,2011,"99,989 km",Petrol,"Thathawade, Pune"
Honda City VX MT,10.87 Lakh,2020,"45,072 km",Petrol,"Thathawade, Pune"
Maruti Ciaz VXi Plus,5 Lakh,2015,"50,000 km",Petrol,"City, Pune"
Maruti Swift Dzire ZXI,3.34 Lakh,2011,"62,440 km",Petrol,"Undri, Pune"
Honda Jazz 1.2 V AT i VTEC,5.40 Lakh,2015,"55,000 km",Petrol,"Range Hills, Pune"
Hyundai Creta 1.6 SX Automatic,11 Lakh,2019,"20,000 km",Petrol,Pune
Hyundai Grand i10 Sportz,4.06 Lakh,2014,"40,152 km",Petrol,"Undri, Pune"
Maruti Celerio VXI AMT BSIV,4.45 Lakh,2017,"45,000 km",Petrol,"N I B M, Pune"
Maruti Wagon R ZXI 1.2,6.18 Lakh,2022,"25,752 km",Petrol,"Thathawade, Pune"
Hyundai Grand i10 Sportz,4.07 Lakh,2014,"48,395 km",Petrol,"Undri, Pune"
Maruti Baleno Alpha,6.25 Lakh,2019,"51,000 km",Petrol,"Shaniwar Peth, Pune"
Honda Jazz 1.2 S i VTEC,3.60 Lakh,2015,"42,139 km",Petrol,"Thathawade, Pune"
Hyundai Grand i10 1.2 Kappa Sportz BSIV,4.99 Lakh,2017,"24,086 km",Petrol,"Undri, Pune"
Ford Fiesta 1.6 ZXi ABS,1.99 Lakh,2010,"50,000 km",Petrol,Pune
Hyundai i20 1.2 Asta,3.20 Lakh,2012,"40,000 km",Petrol,Pune
Tata Nexon 1.2 Revotron XZA Plus,8 Lakh,2018,"48,000 km",Petrol,"Kothrud, Pune"
Nissan Kicks 1.3 Turbo XV CVT,13 Lakh,2021,"20,000 km",Petrol,Pune
Mercedes-Benz CLA 200 CDI Sport,22.75 Lakh,2016,"64,800 km",Diesel,"R.s., Pune"
Mahindra XUV500 W4,6.99 Lakh,2015,"74,000 km",Diesel,"Kasarwadi, Pune"
Maruti Wagon R LXI CNG,3.30 Lakh,2013,"50,000 km",CNG,Pune
Hyundai Grand i10 Sportz,4.30 Lakh,2014,"54,784 km",Petrol,"Undri, Pune"
Honda City i VTEC VX,8.43 Lakh,2017,"66,351 km",Petrol,"Undri, Pune"
Hyundai Santro Sportz AMT,5.80 Lakh,2020,"15,000 km",Petrol,"Bavdhan, Pune"
Maruti Baleno 1.2 Zeta,5.39 Lakh,2017,"45,523 km",Petrol,"Undri, Pune"
Maruti Celerio X AMT ZXI BSIV,4.49 Lakh,2017,"80,032 km",Petrol,"Undri, Pune"
Maruti Celerio ZXI AT,4.10 Lakh,2015,"33,000 km",Petrol,"Hadapsar, Pune"
