CarName,Price,Year,KilometersDriven,Fuel Type,Location
Maruti Suzuki Wagon R 1.0 VXI,3.05 Lakh,2012,54K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Skoda Fabia Ambition Plus 1.2 MPI,3.18 Lakh,2012,23K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Honda Amaze 1.2 V i-VTEC,7.10 Lakh,2020,22K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Tata Altroz XE 1.2,5.69 Lakh,2020,35K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Alto K10 VXI AMT,4.67 Lakh,2019,23K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Maruti Suzuki Dzire ZXI Plus AMT,7.18 Lakh,2017,18K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Toyota Yaris G,7.80 Lakh,2018,60K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Volkswagen Vento Highline Diesel AT,9.11 Lakh,2018,54K km,Diesel,"Spinny Hub, Seasons Mall, Pune"
Mahindra Marazzo M8,10.98 Lakh,2019,33K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Mahindra XUV500 W11 AT,17.51 Lakh,2021,39K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Skoda Kushaq Style 1.0L TSI MT,12.73 Lakh,2021,63K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai New i20 Sportz 1.2 MT,7.54 Lakh,2021,38K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Honda City SV CVT,7.10 Lakh,2016,47K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Wagon R 1.0 LXI CNG,3.25 Lakh,2013,69K km,Petrol+cng,"Spinny Park, Hinjewadi, Pune"
Hyundai Neo Fluidic Elantra 1.6 SX AT CRDi,6.18 Lakh,2014,124K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Nissan Micra Active XV,3.35 Lakh,2017,87K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Nissan Micra Active XV,3.88 Lakh,2018,57K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Renault Scala RxZ Diesel,4.22 Lakh,2015,74K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Chevrolet Beat LS Diesel,2.81 Lakh,2014,89K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Ciaz Alpha 1.5 Diesel,9.11 Lakh,2019,74K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Toyota Yaris V,7.76 Lakh,2018,20K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Chevrolet Sail U-VA 1.3 LT ABS,2.42 Lakh,2012,100K km,Diesel,"Spinny Hub, Seasons Mall, Pune"
