ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
66,Toyota Innova,"3,00,000",2005,400000,Diesel,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/toyota-innova-25-gx-diesel-8-seater-2005-diesel-iid-1743163706,https://apollo-singapore.akamaized.net/v1/files/kdq1g74ahoas-IN/image;s=850x0
67,Mahindra XUV500,"8,75,000",2014,75000,Diesel,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/mahindra-xuv500-2011-2015-w6-2wd-2014-diesel-iid-1742861186,https://apollo-singapore.akamaized.net/v1/files/fkc8mn09k69n1-IN/image;s=850x0
68,Toyota Fortuner,"16,50,000",2014,82000,Diesel,"Rajajinagar Industrial Town, Bengaluru",https://www.olx.in/item/toyota-fortuner-30-4x2-mt-2014-diesel-iid-1742830522,https://apollo-singapore.akamaized.net/v1/files/y2bs2cgkjrcj3-IN/image;s=850x0
69,Toyota Fortuner,"16,50,000",2014,82000,Diesel,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/toyota-fortuner-30-4x2-mt-2014-diesel-iid-1742829876,https://apollo-singapore.akamaized.net/v1/files/ksfxcdek2mbd2-IN/image;s=850x0
70,Hyundai i20,"4,00,000",2011,79000,Petrol,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/hyundai-i20-12-asta-abs-2011-petrol-iid-1742829354,https://apollo-singapore.akamaized.net/v1/files/74nxlk2o1p8c1-IN/image;s=850x0
71,Isuzu D-Max V-Cross,"16,50,000",2017,75000,Diesel,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/isuzu-d-max-v-cross-4x4-2017-diesel-iid-1740004985,https://apollo-singapore.akamaized.net/v1/files/bohftl49tdlm-IN/image;s=850x0
72,Hyundai i10,"4,50,000",2016,35000,Petrol,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/hyundai-i10-12-kappa-sportz-2016-petrol-iid-1739832984,https://apollo-singapore.akamaized.net/v1/files/l72fyruz2gfj1-IN/image;s=850x0
73,Hyundai Fluidic Verna,"7,45,000",2015,92000,Diesel,"Rajaji Nagar, Bengaluru",https://www.olx.in/item/hyundai-fluidic-verna-16-crdi-sx-2015-diesel-iid-1747850922,https://apollo-singapore.akamaized.net/v1/files/25hx19mc9g4w1-IN/image;s=850x0
74,Hyundai i10,"3,45,000",2012,72500,Petrol,"Agrahara Dasarahalli, Bengaluru",https://www.olx.in/item/hyundai-i10-sportz-12-automatic-kappa2-2012-petrol-iid-1749612210,https://apollo-singapore.akamaized.net/v1/files/ece0x4mbas1t-IN/image;s=850x0
75,Renault Duster,"5,35,000",2013,86000,Diesel,"Basaveshvara Nagar, Bengaluru",https://www.olx.in/item/renault-duster-rxz-2013-diesel-iid-1746195031,https://apollo-singapore.akamaized.net/v1/files/bfw264spabli1-IN/image;s=850x0
76,Renault Duster,"5,75,000",2013,80000,Diesel,"Shastri Nagar, Bengaluru",https://www.olx.in/item/renault-duster-2015-2016-110ps-diesel-rxz-plus-2013-diesel-iid-1749065213,https://apollo-singapore.akamaized.net/v1/files/viw35yinb3rg1-IN/image;s=850x0
77,Hyundai Elite i20,"5,90,000",2014,67000,Petrol,"Banashankari Stage 5, Bengaluru",https://www.olx.in/item/hyundai-elite-i20-asta-12-o-2014-petrol-iid-1749309803,https://apollo-singapore.akamaized.net/v1/files/sgpjm83w7gia-IN/image;s=850x0
78,Hyundai Verna,"7,10,000",2014,53000,Diesel,"Banashankari Stage 2, Bengaluru",https://www.olx.in/item/hyundai-verna-2011-2014-16-sx-crdi-o-at-2014-diesel-iid-1748220519,https://apollo-singapore.akamaized.net/v1/files/w1s0mydb93pz-IN/image;s=850x0
79,Maruti Suzuki Swift,"3,60,000",2011,91000,Diesel,"Basaveshvara Nagar, Bengaluru",https://www.olx.in/item/maruti-suzuki-swift-vdi-o-2011-diesel-iid-1746072509,https://apollo-singapore.akamaized.net/v1/files/ymy1ea7mzlx8-IN/image;s=850x0
80,Maruti Suzuki Ritz,"3,25,000",2010,82000,Petrol,"Basaveshvara Nagar, Bengaluru",https://www.olx.in/item/maruti-suzuki-ritz-vxi-2010-petrol-iid-1745954890,https://apollo-singapore.akamaized.net/v1/files/0qs5ajs38wr62-IN/image;s=850x0
81,Hyundai Venue,"11,45,000",2019,36000,Petrol,"Banashankari Nagar, Bengaluru",https://www.olx.in/item/hyundai-venue-10-turbo-gdi-sx-at-2019-petrol-iid-1744926543,https://apollo-singapore.akamaized.net/v1/files/6pyvq3d3wm7d-IN/image;s=850x0
