ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
343,Mahindra XUV500,"8,50,000",2016,72000,Diesel,"Rohini Sector 7, Delhi",https://www.olx.in/item/mahindra-xuv500-w10-2wd-2016-diesel-iid-1748344924,https://apollo-singapore.akamaized.net/v1/files/9owrlt1lj05w1-IN/image;s=850x0
344,Mahindra Scorpio Classic,"4,25,000",2014,75000,Diesel,"Subhash Nagar, Delhi",https://www.olx.in/item/mahindra-scorpio-classic-22-s-mt-9-str-2014-diesel-iid-1747729453,https://apollo-singapore.akamaized.net/v1/files/wlcqwyixm6pt2-IN/image;s=850x0
345,Toyota Etios Liva,"4,60,000",2016,79000,Diesel,"Ramesh Nagar, Delhi",https://www.olx.in/item/toyota-etios-liva-vd-2016-diesel-iid-1746990018,https://apollo-singapore.akamaized.net/v1/files/pn6u108b18hs1-IN/image;s=850x0
346,Maruti Suzuki Ertiga,"7,99,000",2018,68000,Diesel,"Pitampura, Delhi",https://www.olx.in/item/maruti-suzuki-ertiga-vdi-shvs-2018-diesel-iid-1741391904,https://apollo-singapore.akamaized.net/v1/files/0lesv45aggw9-IN/image;s=850x0
347,Mahindra XUV500,"7,99,000",2017,72000,Diesel,"Rohini Sector 3, Delhi",https://www.olx.in/item/mahindra-xuv500-at-w6-199-mhawk-2017-diesel-iid-1748953760,https://apollo-singapore.akamaized.net/v1/files/icb7dacslts91-IN/image;s=850x0
348,Hyundai i20 N Line,"11,25,000",2021,10000,Petrol,"Pitampura, Delhi",https://www.olx.in/item/hyundai-i20-n-line-10-n8-turbo-dct-2021-petrol-iid-1750054261,https://apollo-singapore.akamaized.net/v1/files/6ndbsvwae18r2-IN/image;s=850x0
349,Tata Harrier,"13,50,000",2021,40000,Diesel,"Subhash Nagar, Delhi",https://www.olx.in/item/tata-harrier-xt-2021-diesel-iid-1745477003,https://apollo-singapore.akamaized.net/v1/files/cpnglz4y34vr1-IN/image;s=850x0
350,Maruti Suzuki Eeco,"3,05,000",2013,53000,CNG & Hybrids,"Subhash Nagar, Delhi",https://www.olx.in/item/maruti-suzuki-eeco-12-5-str-with-achtr-cng-2013-cng-hybrids-iid-1750053352,https://apollo-singapore.akamaized.net/v1/files/j44loi3hlirj2-IN/image;s=850x0
351,Hyundai Grand i10,"5,15,000",2019,42500,Petrol,"Vikaspuri, Delhi",https://www.olx.in/item/hyundai-grand-i10-12-kappa-sportz-option-2019-petrol-iid-1749514991,https://apollo-singapore.akamaized.net/v1/files/cjkklesankee2-IN/image;s=850x0
352,Honda City,"6,25,000",2014,75000,Petrol,"Tilak Nagar, Delhi",https://www.olx.in/item/honda-city-i-vtec-vx-2014-petrol-iid-1747726551,https://apollo-singapore.akamaized.net/v1/files/idm7t4ip1g252-IN/image;s=850x0
353,Hyundai Elite i20,"4,60,000",2015,66000,Diesel,"Pitampura, Delhi",https://www.olx.in/item/hyundai-elite-i20-14-crdi-asta-o-2015-diesel-iid-1743635538,https://apollo-singapore.akamaized.net/v1/files/9h7bcaj1e33n1-IN/image;s=850x0
354,Mahindra XUV500,"7,90,000",2015,85000,Diesel,"Pitampura, Delhi",https://www.olx.in/item/mahindra-xuv500-22-w10-2015-diesel-iid-1743635086,https://apollo-singapore.akamaized.net/v1/files/n1qxewkhkozz1-IN/image;s=850x0
355,Hyundai Creta,"8,75,000",2018,40000,Petrol,"Punjabi Bagh West, Delhi",https://www.olx.in/item/hyundai-creta-16-e-plus-2018-petrol-iid-1740797824,https://apollo-singapore.akamaized.net/v1/files/yrkorvhx1fel-IN/image;s=850x0
356,Ford Figo Aspire,"4,85,000",2017,7000,Petrol,"Ramesh Nagar, Delhi",https://www.olx.in/item/ford-figo-aspire-12-ti-vct-titanium-2017-petrol-iid-1748952478,https://apollo-singapore.akamaized.net/v1/files/qlb1ihjfaxpj1-IN/image;s=850x0
357,Maruti Suzuki Alto-K10,"2,49,999",2017,57000,Petrol,"Vikaspuri, Delhi",https://www.olx.in/item/maruti-suzuki-alto-k10-lxi-2017-petrol-iid-1750052590,https://apollo-singapore.akamaized.net/v1/files/aey972jv2bm33-IN/image;s=850x0
358,Maruti Suzuki Swift-Dzire,"5,30,000",2017,38000,Petrol,"Pitampura, Delhi",https://www.olx.in/item/maruti-suzuki-swift-dzire-vxio-mt-2017-petrol-iid-1748346034,https://apollo-singapore.akamaized.net/v1/files/yjfnqf3o5vw62-IN/image;s=850x0
359,Toyota Fortuner,"29,90,000",2019,49600,Diesel,"Rajouri Garden, Delhi",https://www.olx.in/item/toyota-fortuner-28-2wd-at-2019-diesel-iid-1747225990,https://apollo-singapore.akamaized.net/v1/files/saz1lmjw1j583-IN/image;s=850x0
360,Audi A6,"24,99,999",2017,29000,Diesel,"Vikaspuri, Delhi",https://www.olx.in/item/audi-a6-20-35-tdi-technology-matrix-2017-diesel-iid-1748219829,https://apollo-singapore.akamaized.net/v1/files/1hpw7tzmw3y82-IN/image;s=850x0
361,Toyota Fortuner,"26,50,000",2017,97000,Diesel,"Rohini Avantika, Delhi",https://www.olx.in/item/toyota-fortuner-28-4wd-mt-2017-diesel-iid-1749124079,https://apollo-singapore.akamaized.net/v1/files/3emlrk4obvbt3-IN/image;s=850x0
