ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
24,BMW X1,"29,50,000",2018,52900,Diesel,"Koregaon park, Pune",https://www.olx.in/item/bmw-x1-xdrive-20d-xline-2018-diesel-iid-1749437701,https://apollo-singapore.akamaized.net/v1/files/6o7qml83hc4q2-IN/image;s=850x0
25,Mahindra Thar,"14,50,000",2021,18600,Petrol,"Koregaon park, Pune",https://www.olx.in/item/mahindra-thar-lx-4-str-convertible-at-2021-petrol-iid-1749437261,https://apollo-singapore.akamaized.net/v1/files/lnj7ekh8na7r3-IN/image;s=850x0
26,Ford Figo,"2,35,000",2012,95000,Diesel,"Bhawani Peth, Pune",https://www.olx.in/item/ford-figo-2010-2012-diesel-zxi-2012-diesel-iid-1750081671,https://apollo-singapore.akamaized.net/v1/files/htnsjmaj87jr2-IN/image;s=850x0
27,Renault KWID,"4,85,000",2022,9000,Petrol,"Koregaon park, Pune",https://www.olx.in/item/renault-kwid-10-rxt-2022-petrol-iid-1745976754,https://apollo-singapore.akamaized.net/v1/files/0ka2cxrxjo253-IN/image;s=850x0
28,Maruti Suzuki Swift-Dzire,"2,09,000",2023,1234,CNG & Hybrids,"Narayan Peth, Pune",https://www.olx.in/item/maruti-suzuki-swift-dzire-tour-s-2023-cng-hybrids-iid-1740830868,https://apollo-singapore.akamaized.net/v1/files/u0wi1ntzl8sw-IN/image;s=850x0
29,Maruti Suzuki Wagon-R,"1,40,000",2023,1234,CNG & Hybrids,"Pune Cantonment, Pune",https://www.olx.in/item/maruti-suzuki-wagon-r-cng-lxi-2023-cng-hybrids-iid-1739057183,https://apollo-singapore.akamaized.net/v1/files/86gdmy1izwzn1-IN/image;s=850x0
30,Hyundai i20,"5,49,000",2014,51000,Diesel,"Swargate, Pune",https://www.olx.in/item/hyundai-i20-diesel-asta-option-2014-diesel-iid-1748983576,https://apollo-singapore.akamaized.net/v1/files/or5vkwsclglq-IN/image;s=850x0
31,Hyundai Verna,"9,49,000",2019,48000,Diesel,"Swargate, Pune",https://www.olx.in/item/hyundai-verna-14-crdi-ex-mt-2019-diesel-iid-1748982575,https://apollo-singapore.akamaized.net/v1/files/5pajltpreaae1-IN/image;s=850x0
32,Volkswagen Ameo,"5,95,000",2019,47000,Petrol,"Pune Vidyapith, Pune",https://www.olx.in/item/volkswagen-ameo-10-mpi-comfortline-2019-petrol-iid-1749212325,https://apollo-singapore.akamaized.net/v1/files/mhnksgaaeqvw1-IN/image;s=850x0
33,Honda City,"2,49,000",2009,80000,Petrol,"Swargate, Pune",https://www.olx.in/item/honda-city-2008-2011-15-s-mt-2009-petrol-iid-1750080830,https://apollo-singapore.akamaized.net/v1/files/rmn9hc93qo69-IN/image;s=850x0
34,Mercedes-Benz C Class,"62,52,400",2023,1522,Petrol,"Shivaji Nagar, Pune",https://www.olx.in/item/mercedes-benz-c-class-2023-petrol-iid-1750080320,https://apollo-singapore.akamaized.net/v1/files/d74ib8ztu1oh-IN/image;s=850x0
