CarName,Price,Year,KilometersDriven,Fuel Type,Location
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,4.12 Lakh,2015,59K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
Maruti Suzuki Ertiga VXI CNG,5.99 Lakh,2013,58K km,Petrol+cng,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
Maruti Suzuki Wagon R 1.0 VXI AMT,4.45 Lakh,2018,29K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
Maruti Suzuki Wagon R 1.0 LXI CNG,3.59 Lakh,2014,31K km,Petrol+cng,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
Hyundai Fluidic Verna 4S 1.6 VTVT SX,5.74 Lakh,2016,85K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
BMW 3 Series 320d Luxury Line,26.90 Lakh,2017,43K km,Diesel,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
Mercedes-Benz CLA 200 Sport,19.90 Lakh,2016,25K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
Mercedes-Benz CLA 200 Sport,27.90 Lakh,2018,17K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
Maruti Suzuki Swift VXI AMT,7.29 Lakh,2022,30K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
Renault Kwid RXT,4.29 Lakh,2020,3K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
MG Motors Hector 1.5 Hybrid Sharp,14.42 Lakh,2020,15K km,Petrol,"Spinny Hub, Korum Mall, Thane"
Renault Kiger RXT MT,6.78 Lakh,2022,5K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
Hyundai Creta 1.6 SX Plus Auto Petrol,10.37 Lakh,2017,62K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
Hyundai Creta 1.6 SX Plus Auto Petrol,11.49 Lakh,2018,18K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
Toyota Glanza G,8.49 Lakh,2022,8K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
Honda City VX,8.27 Lakh,2017,17K km,Petrol,"Spinny Hub, Korum Mall, Thane"
Hyundai Verna SX AT Diesel,13.26 Lakh,2021,36K km,Diesel,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
Hyundai Creta 1.6 SX Plus Auto,10.18 Lakh,2017,105K km,Diesel,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
Hyundai Creta 1.6 SX Plus Auto Petrol,9.67 Lakh,2017,74K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
Volkswagen Polo Highline1.2L (P),4.63 Lakh,2015,126K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
Hyundai i10 Sportz 1.2 Petrol,2.96 Lakh,2013,25K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
Tata Nexon XM Petrol,6.20 Lakh,2018,65K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
Hyundai Elantra 2.0 SX MT,7.84 Lakh,2016,74K km,Petrol,"Spinny Hub, Korum Mall, Thane"
Maruti Suzuki Vitara Brezza ZDi,7.99 Lakh,2018,56K km,Diesel,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
Skoda Octavia Elegance 1.8 TSI AT,7.33 Lakh,2014,78K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
