CarName,Price,Year,KilometersDriven,Fuel Type,Location
Hyundai i10 Sportz 1.2 Petrol,2.80 Lakh,2011,59K km,Petrol,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,7.37 Lakh,2022,13K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Hyundai Elite i20 Asta 1.4 CRDI,6.46 Lakh,2015,96K km,Diesel,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Hyundai i20 Sportz 1.2,5.38 Lakh,2014,52K km,Petrol,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Maruti Suzuki Swift VXI,6.79 Lakh,2022,41K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Tata Nexon XM S Petrol,8.99 Lakh,2020,18K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Maruti Suzuki Brezza ZXI Plus AT Dual Tone,15.18 Lakh,2022,8K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Maruti Suzuki Swift VXI AMT,6.98 Lakh,2020,20K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Mahindra Marazzo M6 8str,11.90 Lakh,2020,50K km,Diesel,"Spinny Hub, Phoenix Trivium, Hyderabad"
Hyundai Elite i20 Asta 1.4 CRDI,6.44 Lakh,2015,93K km,Diesel,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Hyundai i20 Active 1.4 SX,7.21 Lakh,2017,99K km,Diesel,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Hyundai Grand i10 Magna 1.2 CRDi,5.46 Lakh,2018,38K km,Diesel,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Tata Tiago Revotorq XZ,5.10 Lakh,2017,70K km,Diesel,"Spinny Hub, Sarath City Mall, Hyderabad"
Hyundai i20 Asta 1.4 CRDI,5.23 Lakh,2014,83K km,Diesel,"Spinny Hub, Sarath City Mall, Hyderabad"
Maruti Suzuki Vitara Brezza ZXI AT,9.11 Lakh,2020,95K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Tata Nexon XZ Plus Petrol,8.56 Lakh,2018,38K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
MG Motors Hector 1.5 Sharp DCT,15.18 Lakh,2020,40K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Mahindra XUV500 W11,16.51 Lakh,2019,51K km,Diesel,"Spinny Hub, Phoenix Trivium, Hyderabad"
Hyundai Elite i20 Asta 1.2,6.94 Lakh,2017,26K km,Petrol,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Kia Seltos GTX Plus DCT,17.28 Lakh,2020,17K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Renault Triber RXZ,6.10 Lakh,2019,30K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT,6.96 Lakh,2020,37K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Maruti Suzuki Ignis Zeta AMT Petrol,5.28 Lakh,2018,84K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Maruti Suzuki Wagon R 1.0 VXI,3.94 Lakh,2015,48K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Hyundai Venue SX 1.0 Turbo,9.85 Lakh,2020,21K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Maruti Suzuki Ignis Zeta MT Petrol,4.78 Lakh,2017,81K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Hyundai New i20 Asta 1.2 IVT,9.69 Lakh,2021,23K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Maruti Suzuki Swift ZXI AMT,7.49 Lakh,2020,21K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Hyundai New i20 Sportz 1.2 IVT,9.68 Lakh,2023,7K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Hyundai New i20 Sportz 1.2 MT,8.54 Lakh,2022,8K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
MG Motors Hector 2.0 Sharp,15.63 Lakh,2021,74K km,Diesel,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Maruti Suzuki S-Cross Zeta 1.3,6.99 Lakh,2017,124K km,Diesel,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Mahindra XUV 300 W8 Diesel,12.99 Lakh,2021,30K km,Diesel,"Spinny Hub, Phoenix Trivium, Hyderabad"
Honda WR-V i-DTEC SV,8.45 Lakh,2021,98K km,Diesel,"Spinny Hub, Sarath City Mall, Hyderabad"
Honda BR-V VX MT Diesel,8.99 Lakh,2018,40K km,Diesel,"Spinny Hub, Sarath City Mall, Hyderabad"
Maruti Suzuki Alto 800 VXI,3.63 Lakh,2018,14K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Maruti Suzuki Alto K10 VXI,3.99 Lakh,2019,47K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Hyundai Santro Xing GLS,3.52 Lakh,2014,72K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Hyundai Grand i10 Sportz AT 1.2 Kappa VTVT,6.68 Lakh,2019,41K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Skoda Slavia Ambition 1.0L TSI MT,13.29 Lakh,2022,33K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Hyundai Creta SX Turbo DCT Petrol,16.67 Lakh,2020,11K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
