,CarName,Price,Year,KilometersDriven,Fuel Type,Location
104,Maruti Suzuki Ciaz Alpha Petrol AT,8.31 Lakh,2018,21K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
105,Hyundai Verna 1.6 CRDI SX,8.39 Lakh,2017,68K km,Diesel,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
106,Tata Altroz XZ 1.2,7.11 Lakh,2020,16K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
107,Tata Altroz XZ 1.2,6.79 Lakh,2020,45K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
108,Hyundai Venue SX Plus 1.0 Turbo DCT,10.67 Lakh,2019,19K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
109,Hyundai Xcent SX Petrol,5.99 Lakh,2019,26K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
110,Renault Kwid RXT,4.13 Lakh,2021,36K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
111,Maruti Suzuki Alto 800 VXI,4.15 Lakh,2022,10K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
112,Hyundai Venue SX Plus 1.0 Turbo DCT,10.58 Lakh,2019,22K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
113,Mahindra Marazzo M6 8str,10.03 Lakh,2019,15K km,Diesel,"Spinny Hub, Seawoods, Navi Mumbai"
114,Maruti Suzuki Swift ZXI AMT,6.18 Lakh,2018,54K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
115,Hyundai Elite i20 Asta 1.2,5.19 Lakh,2015,37K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
116,Volkswagen Polo Highline1.2L (P),4.69 Lakh,2015,57K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
117,Volkswagen Polo Comfortline 1.2 (D),3.57 Lakh,2012,86K km,Diesel,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
118,Hyundai Verna Fluidic 1.6 VTVT EX,4.78 Lakh,2014,86K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
119,Hyundai Neo Fluidic Elantra 1.8 SX AT VTVT,5.51 Lakh,2013,67K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
120,Maruti Suzuki Ignis Alpha AMT Petrol,4.99 Lakh,2018,91K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
121,Maruti Suzuki Ciaz Delta Petrol,6.79 Lakh,2018,48K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
122,Mahindra Marazzo M6,8.96 Lakh,2018,52K km,Diesel,"Spinny Hub, Korum Mall, Thane, Mumbai"
123,Hyundai Elite i20 Sportz 1.2,5.41 Lakh,2016,50K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
124,Mahindra Xylo D4 BS-IV,5.80 Lakh,2019,31K km,Diesel,"Spinny Hub, Korum Mall, Thane, Mumbai"
125,Tata Tigor Revotron XZ+ CNG Dual Tone,7.99 Lakh,2022,25K km,Petrol+cng,"Spinny Hub, Korum Mall, Thane, Mumbai"
126,Maruti Suzuki Celerio ZXI (O) AMT,5.82 Lakh,2021,10K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
127,Volkswagen Ameo Comfortline 1.2L (P),4.57 Lakh,2016,33K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
128,Tata Tigor Revotron XZ+ CNG,8.29 Lakh,2022,8K km,Petrol+cng,"Spinny Hub, Korum Mall, Thane, Mumbai"
129,Honda Amaze 1.2 VX CVT i-VTEC,8.30 Lakh,2021,24K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
130,Maruti Suzuki Baleno Zeta Petrol,7.10 Lakh,2020,36K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
