,CarName,Price,Year,KilometersDriven,Fuel Type,Location
76,Tata Nexon XZ Petrol,6.65 Lakh,2018,29K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
77,Honda WR-V VX i-VTEC,6.82 Lakh,2017,53K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
78,Tata Nexon XZ Plus Diesel,8.38 Lakh,2019,33K km,Diesel,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
79,Mercedes-Benz C-Class C 200 Progressive,39.90 Lakh,2020,39K km,Petrol,"Max Hub @ Trillium Avenue, Gurgaon, Delhi"
80,BMW X3 xDrive 20d Luxury Line,41.90 Lakh,2018,58K km,Diesel,"Max Hub @ Trillium Avenue, Gurgaon, Delhi"
81,Jeep Compass Limited 1.4 Petrol AT,14.25 Lakh,2017,41K km,Petrol,"Max Hub @ Trillium Avenue, Gurgaon, Delhi"
82,Maruti Suzuki Baleno Alpha Petrol,5.54 Lakh,2017,70K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
83,Maruti Suzuki Swift VDi,3.68 Lakh,2014,86K km,Diesel,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
84,Ford EcoSport Titanium + 1.5L Ti-VCT AT,7.80 Lakh,2018,59K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
85,Mahindra XUV 300 W8 (O) Diesel,8.07 Lakh,2019,95K km,Diesel,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
86,Honda City S,3.15 Lakh,2011,26K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
87,Hyundai i10 Magna 1.2 CNG (Outside Fitted),1.94 Lakh,2009,59K km,Petrol+cng,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
88,Tata Nexon XZA Plus AMT Diesel,9.46 Lakh,2020,78K km,Diesel,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
89,Maruti Suzuki Swift VXI,3.37 Lakh,2012,34K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
90,Hyundai Elite i20 Asta 1.2,5.54 Lakh,2017,79K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
91,Maruti Suzuki Baleno Delta Petrol,5.35 Lakh,2018,51K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
92,Tata Zest XE Petrol,4.90 Lakh,2019,19K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
93,Maruti Suzuki Ignis Delta MT Petrol,4.23 Lakh,2017,22K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
94,Tata Nexon XZ+ Dark Edition,10.38 Lakh,2022,16K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
95,Honda City VX,12.68 Lakh,2022,6K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
96,Hyundai Creta 1.6 SX Plus Auto Petrol,9.55 Lakh,2016,44K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
97,Maruti Suzuki S-Cross Zeta 1.3,9.31 Lakh,2019,34K km,Diesel,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
98,Tata Tiago Revotorq XZ,4.53 Lakh,2018,49K km,Diesel,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
99,Maruti Suzuki Baleno Zeta Petrol,5.75 Lakh,2017,40K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
100,Mercedes-Benz C-Class C 220 CDI Avantgarde,21.50 Lakh,2016,24K km,Diesel,"Max Hub @ Trillium Avenue, Gurgaon, Delhi"
101,BMW X3 xDrive 30i Luxury Line,46.50 Lakh,2019,42K km,Petrol,"Max Hub @ Trillium Avenue, Gurgaon, Delhi"
102,Honda Amaze 1.2L S,4.30 Lakh,2016,83K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
103,Ford EcoSport Titanium 1.5L Ti-VCT,6.95 Lakh,2018,77K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
104,Maruti Suzuki Swift VDi,4.10 Lakh,2015,58K km,Diesel,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
105,Hyundai i10 Magna 1.2 CNG (Outside Fitted),1.74 Lakh,2009,64K km,Petrol+cng,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
106,Maruti Suzuki Swift Dzire VXI,3.27 Lakh,2012,28K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
107,Maruti Suzuki Swift LXI,2.44 Lakh,2011,73K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
108,Maruti Suzuki Ignis Alpha MT Petrol,5.29 Lakh,2017,54K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
109,Hyundai i10 Magna 1.2 Petrol,1.48 Lakh,2010,62K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
110,Hyundai Grand i10 Nios Sportz 1.0 Turbo GDI,6.91 Lakh,2020,24K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
111,Maruti Suzuki Swift VXI,2.77 Lakh,2012,94K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
112,Maruti Suzuki Swift VXI,5.94 Lakh,2020,29K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
113,Honda WR-V VX i-VTEC,7.56 Lakh,2018,19K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
114,Kia Seltos HTX G,13.99 Lakh,2021,10K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
115,Maruti Suzuki Baleno Zeta Petrol,7.34 Lakh,2021,19K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
116,Maruti Suzuki Baleno Delta Petrol,5.36 Lakh,2017,53K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
117,Tata Nexon XZ Plus Diesel,7.78 Lakh,2019,64K km,Diesel,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
118,Kia Sonet HTK Plus 1.2,9.10 Lakh,2022,9K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
119,Nissan Kicks XV Petrol,8.99 Lakh,2022,14K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
120,Audi A3 35 TFSI Premium Plus,24 Lakh,2019,30K km,Petrol,"Max Hub @ Trillium Avenue, Gurgaon, Delhi"
121,BMW 3 Series 320d Luxury Line,27.90 Lakh,2018,44K km,Diesel,"Max Hub @ Trillium Avenue, Gurgaon, Delhi"
122,Tata Nexon XZ Plus Dual Tone Roof Diesel,7.85 Lakh,2018,48K km,Diesel,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
123,Maruti Suzuki Ertiga ZXI,5.46 Lakh,2013,69K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
124,Maruti Suzuki Ritz LXI,2.99 Lakh,2014,75K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
125,Ford EcoSport Titanium 1.5L TDCi,4.17 Lakh,2015,87K km,Diesel,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
126,Maruti Suzuki Swift LXI CNG (Outside Fitted),3.34 Lakh,2014,55K km,Petrol+cng,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
127,Maruti Suzuki Swift VXI CNG (Outside Fitted),5.56 Lakh,2018,11K km,Petrol+cng,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
128,Maruti Suzuki Baleno Delta Petrol,6.22 Lakh,2019,56K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
129,Toyota Etios Liva G,3.15 Lakh,2013,67K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
130,Hyundai i20 Magna 1.2,2.15 Lakh,2011,58K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
131,Maruti Suzuki Swift Dzire VXI,3.35 Lakh,2013,89K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
132,Hyundai i10 Magna 1.2 Petrol,1.79 Lakh,2010,70K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
133,Kia Seltos HTX Plus D,15.30 Lakh,2021,33K km,Diesel,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
134,Maruti Suzuki Swift VXI,6.89 Lakh,2023,5K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
135,Hyundai Aura S 1.2 Petrol,6.47 Lakh,2021,19K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
136,Toyota Innova Crysta Touring Sport Diesel AT,19.21 Lakh,2018,45K km,Diesel,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
137,Maruti Suzuki Baleno Delta Petrol,5.32 Lakh,2017,32K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
138,Ford EcoSport Titanium + 1.5L Ti-VCT AT,8.30 Lakh,2018,47K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
139,Renault Triber RXL,5.54 Lakh,2020,20K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
140,Renault Captur RXE Petrol,6.30 Lakh,2018,36K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
141,Audi A3 35 TDI Premium Plus,22.90 Lakh,2019,24K km,Diesel,"Max Hub @ Trillium Avenue, Gurgaon, Delhi"
142,Maruti Suzuki Swift Dzire VXI 1.3,2.41 Lakh,2011,79K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
143,Honda WR-V VX i-VTEC,7.22 Lakh,2019,68K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
144,Maruti Suzuki Wagon R 1.0 VXI,2.32 Lakh,2013,36K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
145,Toyota Etios G,2.31 Lakh,2011,91K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
146,Hyundai Grand i10 Asta 1.2 Kappa VTVT (O),4.05 Lakh,2013,41K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
147,Hyundai i10 Sportz 1.1 Petrol,3.14 Lakh,2014,68K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
148,Maruti Suzuki Eeco STD 5 STR,4.89 Lakh,2020,4K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
149,Hyundai i20 Magna 1.2,1.97 Lakh,2010,67K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
150,Maruti Suzuki Baleno Zeta Petrol,6.38 Lakh,2019,55K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
151,Nissan Sunny XV CVT,5.44 Lakh,2017,70K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
152,Hyundai Verna 1.6 VTVT SX (O) SE,9.22 Lakh,2018,42K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
153,Tata Nexon XZ Petrol,6.94 Lakh,2018,43K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
154,Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,6.47 Lakh,2020,5K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
155,Renault Kwid RXT Opt,3.70 Lakh,2019,15K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
156,Hyundai Venue SX 1.2 Petrol,10.69 Lakh,2022,38K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
157,Renault Duster 85 PS RXZ 4X2 MT,7.44 Lakh,2018,26K km,Diesel,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
158,Honda WR-V i-VTEC VX,9.25 Lakh,2022,18K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
159,Kia Sonet GTX Plus 1.0 iMT Dual Tone,11.33 Lakh,2020,39K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
160,Tata Nexon XZ Petrol,8.99 Lakh,2021,22K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
161,Jeep Compass Limited (O) 1.4 Petrol AT,14.50 Lakh,2018,34K km,Petrol,"Max Hub @ Trillium Avenue, Gurgaon, Delhi"
162,Maruti Suzuki Swift Dzire VXI,2.93 Lakh,2012,72K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
163,Honda City VX CVT,5.61 Lakh,2014,88K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
164,Honda Accord 2.4 AT,6.46 Lakh,2013,64K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
165,Maruti Suzuki Baleno Zeta Diesel,5.60 Lakh,2018,118K km,Diesel,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
166,Hyundai i10 Era Petrol,1.92 Lakh,2011,55K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
167,Hyundai i10 Magna 1.2 Petrol,2.27 Lakh,2011,49K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
168,Hyundai i10 Magna 1.2 Petrol,2.09 Lakh,2011,28K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
169,Maruti Suzuki Swift Dzire VXI,3.10 Lakh,2012,59K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
170,Skoda Rapid New Style TDI AT,6.85 Lakh,2018,129K km,Diesel,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
171,Hyundai Grand i10 Magna 1.2 Kappa VTVT,3.59 Lakh,2014,60K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
172,Hyundai i10 Magna 1.2 Petrol,1.44 Lakh,2009,56K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
173,Mahindra XUV 300 W8 (O) Petrol,9.56 Lakh,2019,22K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
174,Maruti Suzuki Swift LXI,5.59 Lakh,2021,15K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
175,Skoda Slavia Ambition 1.0L TSI MT,12.76 Lakh,2022,6K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
176,Hyundai Eon Era +,3.47 Lakh,2018,3K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
177,Hyundai Grand i10 Sportz (O) 1.2 kappa VTVT,4.99 Lakh,2017,20K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
178,Maruti Suzuki Swift VXI,6.78 Lakh,2022,9K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
179,Hyundai Creta 1.6 SX OPT VTVT,11.98 Lakh,2019,58K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
180,Toyota Innova Crysta 2.4 G,15.80 Lakh,2018,41K km,Diesel,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
181,Hyundai New i20 Asta (O) 1.2 MT,8.84 Lakh,2021,24K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
182,Hyundai Verna 1.6 CRDI SX (O),8.37 Lakh,2018,39K km,Diesel,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
183,Datsun GO T (O),3.26 Lakh,2017,26K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
184,Ford EcoSport Titanium 1.5L Ti-VCT AT,5.99 Lakh,2017,46K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
185,Maruti Suzuki Wagon R 1.0 VXI,3.71 Lakh,2018,74K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
186,Hyundai Grand i10 Magna 1.2 Kappa VTVT,4.29 Lakh,2017,43K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
187,Hyundai i10 Magna Petrol,2.99 Lakh,2013,38K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
